Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
14500000,Balkot,2.5,3.0,5,1369.0,13.0,Bhaktapur,West,85.3746581505893,27.66517335
19000000,Balkot,3.0,4.0,3,1026.75,10.0,Bhaktapur,North,85.3746581505893,27.66517335
24000000,Balkot,2.5,3.0,6,1711.25,13.0,Bhaktapur,East,85.3746581505893,27.66517335
27500000,Balkot,2.5,4.0,4,1155.09375,13.0,Bhaktapur,West,85.3746581505893,27.66517335
28000000,Balkot,3.0,5.0,5,1129.425,13.0,Bhaktapur,West,85.3746581505893,27.66517335
29000000,Balkot,2.0,3.0,3,1796.8125,20.0,Bhaktapur,North,85.3746581505893,27.66517335
42500000,Balkot,3.5,4.0,4,2053.5,10.0,Bhaktapur,South,85.3746581505893,27.66517335
25000000,Balkot,3.0,4.0,5,1112.31,13.0,Bhaktapur,West,85.3746581505893,27.66517335
31500000,Balkot,3.0,4.0,5,1711.25,13.0,Bhaktapur,West,85.3746581505893,27.66517335
28000000,Balkot,3.0,5.0,5,1347.6,13.0,Bhaktapur,West,85.3746581505893,27.66517335
27000000,Balkot,3.0,4.0,5,1095.2,13.0,Bhaktapur,West,85.3746581505893,27.66517335
27000000,Balkot,3.0,2.0,4,1369.0,13.0,Bhaktapur,West,85.3746581505893,27.66517335
35000000,Balkot,3.0,5.0,7,1711.25,13.0,Bhaktapur,West,85.3746581505893,27.66517335
35000000,Balkot,3.0,4.0,6,2395.75,13.0,Bhaktapur,West,85.3746581505893,27.66517335
22500000,Balkumari,3.5,1.0,7,1026.75,13.0,Lalitpur,West,85.31841439898326,27.63274015
47000000,Balkumari,3.0,4.0,5,1471.675,13.0,Lalitpur,South,85.31841439898326,27.63274015
60000000,Balkumari,3.5,6.0,6,3080.25,13.0,Lalitpur,East,85.31841439898326,27.63274015
30000000,Balkumari,2.5,4.0,7,1582.9,13.0,Kathmandu,West,85.311633,27.7071075
34000000,Baluwakhani,3.0,2.0,6,1129.425,13.0,Kathmandu,West,85.35971719693272,27.7317763
21500000,Baluwakhani,3.0,3.0,4,1026.75,12.0,Kathmandu,South East,85.35971719693272,27.7317763
27500000,Baluwakhani,2.5,4.0,6,1095.2,10.0,Kathmandu,West,85.35971719693272,27.7317763
34500000,Baluwakhani,2.5,5.0,7,1745.475,13.0,Kathmandu,East,85.35971719693272,27.7317763
26500000,Baluwakhani,2.5,4.0,4,1369.0,13.0,Kathmandu,West,85.35971719693272,27.7317763
28000000,Baluwakhani,3.0,3.0,5,1112.31,13.0,Kathmandu,West,85.35971719693272,27.7317763
24000000,Baluwakhani,3.0,3.0,5,1197.875,13.0,Kathmandu,West,85.35971719693272,27.7317763
28000000,Baluwakhani,2.5,5.0,9,1026.75,13.0,Kathmandu,West,85.35971719693272,27.7317763
17500000,Baluwakhani,2.0,2.0,1,1095.2,13.0,Kathmandu,West,85.35971719693272,27.7317763
39000000,Baluwakhani,3.0,5.0,6,1437.45,13.0,Kathmandu,West,85.35971719693272,27.7317763
39000000,Baluwakhani,3.0,5.0,6,1437.45,13.0,Kathmandu,West,85.35971719693272,27.7317763
