title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
Flat system house for sale at Dhapasi Height Kathmandu,"Dhapasi Marg, Tokha, 44607",32500000,1369,,6,4,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-dhapasi-height-kathmandu/,,3-,2072,kathmandu,,,,
Flat system house for sale on 4.5 Anna at Sano Bharyang KTM,Sano Bharyang  44600,32500000,1711.25,,5,4,https://nepalhomesearch.com/property/house-for-sale-sano-bharyang-kathmandu/,,3-,2076,kathmandu,,,,
Furnished new house for sale in Pasikot Budhanilkantha | 9818424657,,32500000,1882.37,14,6,5,https://www.gharghaderi.com/house/712-Furnished-new-house-for-sale-in-Pasikot-Budhanilkantha/,East,3-,,Kathmandu,Budhanilkantha,Pasikot,2075,Budhanilkantha
House for sale at Golfutar | 9851184666,,32500000,1369,16,5,4,https://www.gharghaderi.com/house/2155-House-for-sale-at-Golfutar/,East,3-,,Kathmandu,Budhanilkantha,Golfutar,2073,Budhanilkantha
"House for sale at Veenas Residency, Tokha","Veenas Residency, Tokha",32500000,1711.25,,3,3,https://nepalhomesearch.com/property/house-for-sale-at-veenas-residency-tokha/,,3+,,kathmandu,,,,
House for sale on 4.5 aana land at Bafal Kathmandu,Bafal Marg,32500000,1711.25,,4,4,https://nepalhomesearch.com/property/house-for-sale-on-4-5-aana-land-at-bafal-kathmandu/,,3-,,kathmandu,,,,
"House for sale, Thecho Laliptur","Thecho, Godawari, 44700",32500000,1369,13,5,5,https://nepalhomesearch.com/property/house-for-sale-thecho-laliptur/,North,3-,2080,lalitpur,,,,
New House for Sale in S AANAgaun | 9864260884 sold,,32500000,1369,13,5,4,https://www.gharghaderi.com/house/2624-New-House-for-Sale-in-S AANAgaun/,East,3-,,Lalitpur,Mahalaxmi,S AANAgaun,2076,Mahalaxmi
New house for sale at Dhapasi 4 Tokha Kathmandu | 9810385879,,32500000,1711.25,13,5,5,https://www.gharghaderi.com/house/393-New-house-for-sale-at-Dhapasi-4-Tokha-Kathmandu/,City,3-,,Kathmandu,Tokha,Dhapasi,2075,Tokha
New house for sale in Tinth AANA Kalanki | 9823502058,,32500000,1500,16,8,4,https://www.gharghaderi.com/house/1580-New-house-for-sale-in-Tinth AANA-Kalanki/,East,3-,,Kathmandu,Chandragiri,Tinth AANA,2076,Chandragiri
"New house for sale near Kuwar Colony, Dhapasi","Kuwar Colony, Dhapasi",32500000,2053.5,,5,4,https://nepalhomesearch.com/property/new-house-for-sale-near-kuwar-colony-dhapasi/,,3-,2077,kathmandu,,,,
"Ready to move houses near High Vision Colony, Thankot","Thānkot, Chandragiri",32500000,1711.25,,5,4,https://nepalhomesearch.com/property/ready-to-move-houses/,,3-,2077,kathmandu,,,,
"Residential House On Sale at Kadaghari, Hanuman Mandir, Kathmandu | 9745300858",,32500000,1197.875,13,6,1,https://www.gharghaderi.com/house/2767-Residential-House-On-Sale-at-Kadaghari-Hanuman-Mandir-Kathmandu/,East,3+,,Kathmandu,Kathmandu,"Kadaghari, Hanuman Mandir",2076,Kathmandu
Semi commercial new house for sale at Thankot Kathmandu,"Thānkot, Chandragiri,",32500000,2053.5,,4,4,https://nepalhomesearch.com/property/semi-commercial-new-house-for-sale-at-thankot-kathmandu/,,3-,2077,kathmandu,,,,
new house on sale at Lalitpur | 977985114,,32500000,1369,13,5,4,https://www.gharghaderi.com/house/2631-new-house-on-sale-at-Lalitpur/,North,3-,,Lalitpur,Mahalaxmi,Imadol,2073,Mahalaxmi
"Beautiful house sale in Tokha, Panchetaar, Kathmandu | 9851241322",,32000000,1625.6875,20,5,4,https://www.gharghaderi.com/house/1771-Beautiful-house-sale-in-Tokha-Panchetaar-Kathmandu/,East,3-,,Kathmandu,Tokha,Panchetaar,2076,Tokha
Brand new house for sale at Samakhusi | 9840872228 sold,,32000000,1369,13,6,5,https://www.gharghaderi.com/house/1077-Brand-new-house-for-sale-at-Samakhusi/,East,3-,,Kathmandu,Kathmandu,Samakhusi,2075,Kathmandu
Classic design house at Pasikot | 9840872228,,32000000,1882.375,20,4,5,https://www.gharghaderi.com/house/1163-Classic-design-house-at-Pasikot/,North,3+,,Kathmandu,Budhanilkantha,Pasikot,2076,Budhanilkantha
Dhapasi family units | 9840872228,,32000000,1711.25,13,6,5,https://www.gharghaderi.com/house/1428-Dhapasi-family-units/,East,3-,,Kathmandu,Tokha,Dhapasi,2076,Tokha
House sale in maipi. Near new buspark | 9849164797,,32000000,1437.45,20,8,5,https://www.gharghaderi.com/house/1672-House-sale-in-maipi.-Near-new-buspark/,East,3+,,Kathmandu,Kathmandu,near New buspark,2067,Kathmandu
Kathmandu man road .way of white gumbha | 9803915560,,32000000,1711.25,13,1,3,https://www.gharghaderi.com/house/2405-Kathmandu-man-road-.way-of-white-gumbha/,East,3-,,Kathmandu,Kathmandu,5  AANA,2072,Kathmandu
Land and House on Sale | 9849236539,,32000000,3080,32,1,2,https://www.gharghaderi.com/house/2207-Land-and-House-on-Sale/,South east,3-,,Kathmandu,Gokarneshwor,Near BP Meusem,2070,Gokarneshwor
Modern Bungalow at ChappalKharkh AANA | 9840872228 sold,,32000000,1026.75,13,4,5,https://www.gharghaderi.com/house/1074-Modern-Bungalow-at-ChappalKharkh AANA/,South west,3-,,Kathmandu,kathmandu,chappalkarkh AANA,2076,kathmandu
New House on Sale in Imadol | 9864260884,,32000000,1283.43,20,5,4,https://www.gharghaderi.com/house/3293-New-House-on-Sale-in-Imadol/,West,3-,,Lalitpur,Mahalaxmi,Nayabasti,2076,Mahalaxmi
New house for sale at Pasikot | 9851056076,,32000000,2053.5,13,5,4,https://www.gharghaderi.com/house/863-New-house-for-sale-at-Pasikot/,South east,3-,,Kathmandu,Budhanilkantha,Pasikot,2075,Budhanilkantha
Samakhusi Brand New House Inside Ring Road | 9847369375,,32000000,1369,16,6,4,https://www.gharghaderi.com/house/1099-Samakhusi-Brand-New-House-Inside-Ring-Road/,East,3-,,Kathmandu,Kathmandu,Samakhusi,2076,Kathmandu
Thankot House .Opposite to Tribhuwan Park. | 9801854440,,32000000,2053.5,20,5,4,https://www.gharghaderi.com/house/1427-Thankot-House-.Opposite-to-Tribhuwan-Park./,East,3-,,Kathmandu,Chandragiri,Tribhuwan Park,2074,Chandragiri
New house for sale in Kapan Sukedhara | 9823013235,,31800000,1882.37,13,5,5,https://www.gharghaderi.com/house/412-New-house-for-sale-in-Kapan-Sukedhara/,south east,3-,,Kathmandu,Budhanilkantha,Sukedhara,2075,Budhanilkantha
Commercial house for sale at Dhungeadda Kalanki Kathmandu | 9817239960,,31500000,1796.81,30,7,4,https://www.gharghaderi.com/house/624-Commercial-house-for-sale-at-Dhungeadda-Kalanki-Kathmandu/,East,3-,,Kathmandu,Kathmandu,Dhungeadda,2075,Kathmandu
Flat System House on Sale at Hattigauda Kathmandu,"Hattigauda Chowk, Budhanilkantha ",31500000,1711.25,,5,3,https://nepalhomesearch.com/property/flat-system-house-on-sale-at-hattigauda/,,3-,2070,kathmandu,,,,
House for sale Sarsawati Nagar Chabahil Kathmandu | 9841288248,,31500000,1625.68,20,7,7,https://www.gharghaderi.com/house/615-House-for-sale-Sarsawati-Nagar-Chabahil-Kathmandu/,,3-,,Kathmandu,Kathmandu,Chabahil,2070,Kathmandu
House for sale in syambhu thulobharyang | 9861865212,,31500000,1882.375,,7,4,https://www.gharghaderi.com/house/1709-House-for-sale-in-syambhu-thulobharyang/,East,3-,,Kathmandu,Nagarjun,Thulobharyang,2076,Nagarjun
5  AANA South Face Beautiful House On Sale At Basundhara | 9847369375,,31000000,1711.25,13,5,3,https://www.gharghaderi.com/house/1807-5- AANA-South-Face-Beautiful-House-On-Sale-At-Basundhara/,South west,3-,,Kathmandu,Tokha,Basundhara,2076,Tokha
6 Brand New Houses for sale at Sitapaila Kathmandu,"Sitapaila , 446030",31000000,1369,13,5,4,https://nepalhomesearch.com/property/houses-for-sale-at-sitapaila/,South-east,3-,2079,kathmandu,,,,
Brand New House For Sale Bhaisepati | 9801299092,,31000000,1369,18,4,5,https://www.gharghaderi.com/house/1487-Brand-New-House-For-Sale-Bhaisepati/,South east,3-,,Lalitpur,Lalitpur,Bhaisepati,2076,Lalitpur
CG Housing Sunakothi Lalitpur,Sunakothi 44700,31000000,1369,20,4,3,https://nepalhomesearch.com/property/cg-housing-sunakothi-lalitpur/,West,3-,2078,lalitpur,,,,
Hattiban Setipakha height ko Ghar Bikima | 9851133118,,31000000,1369,,1,1,https://www.gharghaderi.com/house/2438-Hattiban-Setipakha-height-ko-Ghar-Bikima/,East,3-,,Lalitpur,Mahalaxmi,Setipakha,2076,Mahalaxmi
House for sale in Chapali Height | 9851155216 sold,,31000000,1711.25,13,4,5,https://www.gharghaderi.com/house/465-House-for-sale-in-Chapali-Height/,City,3-,,Kathmandu,Budhanilkantha,Chapali,2075,Budhanilkantha
House for sale on 3 aana land at Buddhanagar Kathmandu,Buddhanagar 44600,31000000,1026.75,16,6,4,https://nepalhomesearch.com/property/house-for-sale-on-3-aana-land-at-buddhanagar-kathmandu/,,3-,2076,kathmandu,,,,
New house for sale in Budhanilkantha | 9840872228,,31000000,1540.12,12,5,2,https://www.gharghaderi.com/house/770-New-house-for-sale-in-Budhanilkantha/,South east,3-,,Kathmandu,Budhanilkantha,Pasikot,2074,Budhanilkantha
Residential House in Kathmandu | 9851050195,,31000000,1194,,8,5,https://www.gharghaderi.com/house/1439-Residential-House-in-Kathmandu/,East,3-,,Kathmandu,Kathmandu,Chabahil,2067,Kathmandu
House for sale in Sitapaila Nagarjun Kathmandu | 9843319744,,30500000,2395.75,18,6,5,https://www.gharghaderi.com/house/685-House-for-sale-in-Sitapaila-Nagarjun-Kathmandu/,east,3-,,Kathmandu,Nagarjun,Sitapaila,,Nagarjun
"4 bhk house on sale at Grande Villa Dhapasi,Tokha | 9851155216",,30000000,1357.8673,,3,2,https://www.gharghaderi.com/house/3418-4-bhk-house-on-sale-at-Grande-Villa-Dhapasi-Tokha/,East,3-,,kathmandu,Tokha,Dhapasi,2075,Tokha
Attractive house on sale at Sanepa Lalitpur | 9851081301,,30000000,1540.12,12,6,5,https://www.gharghaderi.com/house/966-Attractive-house-on-sale-at-Sanepa-Lalitpur/,East,3-,,Lalitpur,Lalitpur,Sanepa,,Lalitpur
Brand New House On 9 Aana Land For Sale At Budhanilkantha,Budhanilkantha 44600,30000000,3080.25,18,5,5,https://nepalhomesearch.com/property/brand-new-house-on-9-aana-land-for-sale-at-budhanilkantha/,North,3+,2077,kathmandu,,,,
Bungalow for sale in Chapagaun Lalitpur | 9805394429,,30000000,1711.25,14,5,3,https://www.gharghaderi.com/house/640-Bungalow-for-sale-in-Chapagaun-Lalitpur/,South west,3-,,Lalitpur,Godawari,Chapagaun,2075,Godawari
Flat system house for sale in Balaju Boharatar | 9843599656,,30000000,1026.75,13,7,5,https://www.gharghaderi.com/house/705-Flat-system-house-for-sale-in-Balaju-Boharatar/,,3-,,Kathmandu,Kathmandu,Balaju,2073,Kathmandu
Flat system house for sale on 5 anna at Satungal,"Sangam Basti, Satungal Chandragiri Municipality ",30000000,1711.25,,6,4,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-satungal/,,3-,2072,kathmandu,,,,
Ghar bikrima | 9818107002,,30000000,1540.125,10,1,5,https://www.gharghaderi.com/house/1494-Ghar-bikrima/,East,3-,,Kathmandu,Nagarjun,Syuchatar,2075,Nagarjun
House On Sale Thulo Bharyang Swoyambhu Near by YatYat Office | 9841831732,,30000000,2395.75,,1,1,https://www.gharghaderi.com/house/2120-House-On-Sale-Thulo-Bharyang-Swoyambhu-Near-by-YatYat-Office/,East,3-,,Kathmandu,Kathmandu,Swoyambhu,2068,Kathmandu
House built in 5 Anna for sale in Bhaisepati Lalitpur,"Bhaisepati, Karyabinayak",30000000,1711.25,,4,4,https://nepalhomesearch.com/property/house-built-in-5-anna-for-sale-in-bhaisepati-lalitpur/,,3-,2067,lalitpur,,,,
House for sale at Mangal Colony near Vinayak Colony,"Vinayak Colony Rd, Karyabinayak Bhaisepati",30000000,1475.95,,3,4,https://nepalhomesearch.com/property/mangal-colony-vinayak-colony/,,3-,2075,kathmandu,,,,
House for sale near jorpati in Besi Gaun | 9851160941,,30000000,1369,12,6,3,https://www.gharghaderi.com/house/1174-House-for-sale-near-jorpati-in-Besi-Gaun/,East,3-,,Kathmandu,Gokarneshwor,Besi Gaun,2075,Gokarneshwor
"House in Sale at Taukhel, Godawari (4.5  AANA) | 9851153186",,30000000,1540.125,6,5,5,https://www.gharghaderi.com/house/2561-House-in-Sale-at-Taukhel-Godawari-(4.5- AANA)/,East,3-,,Kathmandu,Godawari,"Taukhel, Godawari",2073,Godawari
"House urgent sale at Pandu Bazar, Katunje Bhaktapur",Pandu Bazar,30000000,2738,13,4,3,https://nepalhomesearch.com/property/house-urgent-sale-at-pandu-bazar-katunje-bhaktapur/,East,3-,,bhaktapur,,,,
New house Sale at Besi Gau Jorpati Rs.30000000 | 9861397178,,30000000,1200,13,8,3,https://www.gharghaderi.com/house/1517-New-house-Sale-at-Besi-Gau-Jorpati-Rs.30000000/,East,3-,,Kathmandu,Gokarneshwor,Jorpati,2076,Gokarneshwor
House for sale in Sukedhara | 9823013235,,29800000,1711.25,13,5,5,https://www.gharghaderi.com/house/581-House-for-sale-in-Sukedhara/,West,3-,,Kathmandu,Budhanilkantha,Sukedhara,2075,Budhanilkantha
4.5  AANAma baneko 3.5 talla Ghar Goldhunga LolangPhant on Rs 2.9 Crore | 9818046476,,29500000,1500,10,8,4,https://www.gharghaderi.com/house/2295-4.5- AANAma-baneko-3.5-talla-Ghar-Goldhunga-LolangPhant-on-Rs-2.9-Crore/,West,3-,,Kathmandu,Kathmandu,Goldhunga,2075,Kathmandu
"House for sale at Dhapasi, Kathmandu | 9846053579",,29500000,1026.75,13,5,3,https://www.gharghaderi.com/house/2789-House-for-sale-at-Dhapasi-Kathmandu/,West,3-,,Kathmandu,Tokha,Dhapasi,2073,Tokha
House for sale in Dhapasi 7 Tokha | 9818152649,,29500000,1369,13,5,4,https://www.gharghaderi.com/house/864-House-for-sale-in-Dhapasi-7-Tokha/,East,3-,,Kathmandu,Tokha,Dhapasi,2075,Tokha
New Bungalow on Sale at Tenzing Chowk Chabahil | 9847369375,,29500000,1369,13,5,4,https://www.gharghaderi.com/house/1189-New-Bungalow-on-Sale-at-Tenzing-Chowk-Chabahil/,East,3-,,Kathmandu,Kathmandu,Chabahil,2076,Kathmandu
"New House For Sale In Sallaghari, Bhaktapur | 9866112840",,29500000,1500,10,8,3,https://www.gharghaderi.com/house/1648-New-House-For-Sale-In-Sallaghari-Bhaktapur/,South,3-,,Bhaktapur,Suryabinayak,Subarnachowk,2075,Suryabinayak
SBA PRESENTS YOU THE LUXURIOUS KARYABINAYAK HOMES | 9847369375,,29500000,1369,20,4,4,https://www.gharghaderi.com/house/1846-SBA-PRESENTS-YOU-THE-LUXURIOUS-KARYABINAYAK-HOMES/,East,3-,,Lalitpur,Lalitpur,Bhaisepati,2076,Lalitpur
2.5 storey new house for sale in Sano Bharyang Nagarjun | 9841356008,,29000000,1796.81,20,7,4,https://www.gharghaderi.com/house/849-2.5-storey-new-house-for-sale-in-Sano-Bharyang-Nagarjun/,West,3-,,Kathmandu,Nagarjun,San-Bharyang,2075,Nagarjun
8 flats house for sale at Old Baneshwor,"Old Baneshwor Metropolitan City, 44617",29000000,1369,6,22,8,https://nepalhomesearch.com/property/house-for-sale-at-old-baneshwor/,,,,kathmandu,,,,
Chappal Karkh AANA Modern Bungalow On Sale | 9847369375,,29000000,1026.75,,4,4,https://www.gharghaderi.com/house/1100-Chappal-Karkh AANA-Modern-Bungalow-On-Sale/,East,3-,,Kathmandu,Kathmandu,Chappal Kharkh AANA,2076,Kathmandu
House for sale hattiban lalipur | 9765345855,,29000000,1882.375,12,4,4,https://www.gharghaderi.com/house/3441-House-for-sale-hattiban-lalipur/,North,3+,,Lalitpur,Harisiddhi,Hattiban,2076,Harisiddhi
House for sale in B AANAsthali Kharibot | 9861880932,,29000000,770.06,20,5,4,https://www.gharghaderi.com/house/476-House-for-sale-in-B AANAsthali-Kharibot/,,,,Kathmandu,Nagarjun,B AANAsthali,2075,Nagarjun
Modern European style bungalow in a peaceful area Available for sale | 9842341392 sold,,29000000,1711.25,10,4,4,https://www.gharghaderi.com/house/1338-Modern-European-style-bungalow-in-a-peaceful-area-Available-for-sale/,West,3-,,Kathmandu,Kathmandu,Sitapaila,2076,Kathmandu
"Modern House on Sale, Paiyutar, Kapan | 9745300858",,29000000,1369,10,1,1,https://www.gharghaderi.com/house/2762-Modern-House-on-Sale-Paiyutar-Kapan/,South east,3-,,Kathmandu,Budhanilkantha,Kapan,2076,Budhanilkantha
New house for sale at Bansbari | 9841904701,,29000000,1454.56,10,6,4,https://www.gharghaderi.com/house/1120-New-house-for-sale-at-Bansbari/,West,3-,,Kathmandu,Budhanilkantha,Bansbari,2076,Budhanilkantha
New modern House sell in Lubhu | 9851193150,,29000000,1750,20,5,4,https://www.gharghaderi.com/house/1825-New-modern-House-sell-in-Lubhu/,South,3+,,Lalitpur,Mahalaxmi,Lubhu,2076,Mahalaxmi
"Residential House On Sale at Jalpa Chowk, Gongabu, Kathmandu | 9745300858",,29000000,1369,13,1,1,https://www.gharghaderi.com/house/2777-Residential-House-On-Sale-at-Jalpa-Chowk-Gongabu-Kathmandu/,South,3+,,Kathmandu,Kathmandu,"Jalpa Chowk, Gongbu",2076,Kathmandu
Brand new house for sale in Hattiban Lalitpur | 9841942030,,28700000,1403.225,13,6,5,https://www.gharghaderi.com/house/1622-Brand-new-house-for-sale-in-Hattiban-Lalitpur/,South,3+,,Lalitpur,Harisiddhi,Hattiban,2076,Harisiddhi
"Brand new house for sale in Lalitpur Nakhipot, Kantipur Colony. Banking facility available. | 9841942030",,28500000,1369,22,8,5,https://www.gharghaderi.com/house/2093-Brand-new-house-for-sale-in-Lalitpur-Nakhipot-Kantipur-Colony.-Banking-facility-available./,South,3-,,Lalitpur,Lalitpur,"Nakhipot, Kantipur Colony",2076,Lalitpur
"Flat system 2.5 storey house, Besigaun Jorpati | 9849588555",,28500000,1540.125,12,5,2,https://www.gharghaderi.com/house/2741-Flat-system-2.5-storey-house-Besigaun-Jorpati/,South,3-,,Kathmandu,Kathmandu,"Besigaun, Jorpati",2068,Kathmandu
House for sale at Golfutaar | 9818424657,,28500000,1475.95,14,5,4,https://www.gharghaderi.com/house/456-House-for-sale-at-Golfutaar/,City,3-,,Kathmandu,Budhanilkantha,Golfutar,285,Budhanilkantha
House for sale in Bhaisepati lalitpur | 9851246456,,28500000,1540.12,13,6,4,https://www.gharghaderi.com/house/862-House-for-sale-in-Bhaisepati-lalitpur/,East,3-,,Lalitpur,Lalitpur,Bhaisepati,2075,Lalitpur
"House on Sell, Lalitpur Thaiba. | 9818683797",,28500000,1369,20,4,5,https://www.gharghaderi.com/house/1805-House-on-Sell-Lalitpur-Thaiba./,South,3-,,Lalitpur,Godawari,Thaiba,2074,Godawari
Kirtipur Ma Ghar  3  AANA Jaaga Bikima | 9841760604,,28500000,2395.75,20,1,3,https://www.gharghaderi.com/house/1617-Kirtipur-Ma-Ghar--3- AANA-Jaaga-Bikima/,East,3-,,Kathmandu,Kirtipur,7 aan,2076,Kirtipur
"Luxurious Building On Sale at Paiyatar, Kapan, Budhanilkantha, Kathmandu, Nepal | 9745300858",,28500000,1368.99,,7,3,https://www.gharghaderi.com/house/2805-Luxurious-Building-On-Sale-at-Paiyatar-Kapan-Budhanilkantha-Kathmandu-Nepal/,East,3-,,Kathmandu,Kathmandu,"Paiyatar, Kapan, Budhanilkantha",2076,Kathmandu
Semi Commercial house for sale at Kapan,"Kapan, 44602",28500000,1369,,2,1,https://nepalhomesearch.com/property/semi-commercial-house-for-sale-at-kapan/,South-east,3-,,kathmandu,,,,
New House on Sale in Imadol | 9864260884,,28100000,1026.75,13,5,4,https://www.gharghaderi.com/house/3331-New-House-on-Sale-in-Imadol/,North,3-,,Lalitpur,Mahalaxmi,Rajkulo,2076,Mahalaxmi
4 Storey New House at Balkot 2 Suryabinayak | 9843453334,,28000000,1582.9,13,8,5,https://www.gharghaderi.com/house/646-4-Storey-New-House-at-Balkot-2-Suryabinayak/,East,3-,,Bhaktapur,Suryabinayak,Balkot,2075,Suryabinayak
4 Storeyed House On Sale At Sukedhara | 9849301553 sold,,28000000,1112.31,25,8,3,https://www.gharghaderi.com/house/1675-4-Storeyed-House-On-Sale-At-Sukedhara/,South,3-,,Kathmandu,Budhanilkantha,Near Rave Futsal Center,2076,Budhanilkantha
Brand New house for sale in Mandikatar Dhumbarahi | 9823013235 sold,,28000000,1711.25,13,6,4,https://www.gharghaderi.com/house/714-Brand-New-house-for-sale-in-Mandikatar-Dhumbarahi/,East,3-,,Kathmandu,Kathmandu,Mandikataar,2075,Kathmandu
HOUSE FOR SALE IN HATTIBAN | 9814772770,,28000000,1026.75,,4,4,https://www.gharghaderi.com/house/3543-HOUSE-FOR-SALE-IN-HATTIBAN/,North east,3-,,Lalitpur,Lalitpur,Hattiban,2073,Lalitpur
House for sale at Baluwakhani Kapan | 9841904701,,28000000,1369,13,7,4,https://www.gharghaderi.com/house/1425-House-for-sale-at-Baluwakhani-Kapan/,East,3-,,Kathmandu,Budhanilkantha,Kapan,2076,Budhanilkantha
New house for sale at Pasikot Budhanilkantha,"Pasikot, Budhanilkantha",28000000,1711.25,,6,4,https://nepalhomesearch.com/property/new-house-for-sale-at-pasikot-budhanilantha/,,3-,2077,kathmandu,,,,
New house for sale at S AANAgaun Mahalaxmi Lalitpur | 01-5180352,,28000000,1775.42,13,5,3,https://www.gharghaderi.com/house/856-New-house-for-sale-at-S AANAgaun-Mahalaxmi-Lalitpur/,East,3-,,Lalitpur,Mahalaxmi,S AANAgaun,2075,Mahalaxmi
New house for sale in Hattigauda | 9840872228,,28000000,1369,12,5,3,https://www.gharghaderi.com/house/800-New-house-for-sale-in-Hattigauda/,East,3-,,Kathmandu,Budhanilkantha,Hattigauda,2075,Budhanilkantha
New semi bungalow house for sale at Imadol Lalitpur,"Imadol, Mahalaxmi, 44708",28000000,1369,13,6,4,https://nepalhomesearch.com/property/semi-bungalow-house-for-sale-at-imadol/,South,3-,2079,lalitpur,,,,
Ready to move in houses on sale in Hattiban Lalitpur,Hattiban 44700,28000000,1026.75,20,5,4,https://nepalhomesearch.com/property/houses-on-sale-in-hattiban-lalitpur/,West,3-,2078,lalitpur,,,,
Well furnished 2.5 storey house for sale at Makalbari near the serene Gokarna Protected Forest | 9851092763,,28000000,1369,10,5,4,https://www.gharghaderi.com/house/1616-Well-furnished-2.5-storey-house-for-sale-at-Makalbari-near-the-serene-Gokarna-Protected-Forest/,South,3-,,Kathmandu,Gokarneshwor,Makalbari,2073,Gokarneshwor
3 Bedrooms Beautiful house for sale at Golfutar Kathmandu,"Man Bahadur Marg, Golfutar ",27500000,1026.75,16,3,3,https://nepalhomesearch.com/property/beautiful-house-for-sale-at-golfutar/,South-west,3-,2066,kathmandu,,,,
3 storey house for sale in Aryal Gaun 7 Gokarneshwor | 9818467766,,27500000,1369,13,3,5,https://www.gharghaderi.com/house/815-3-storey-house-for-sale-in-Aryal-Gaun-7-Gokarneshwor/,South,3-,,Kathmandu,Gokarneshwor,Aryal-Gaun,2074,Gokarneshwor
B AANAsthali Dhungedhara House on Sales 2.5 floor | 9823373737,,27500000,1369,13,5,5,https://www.gharghaderi.com/house/1663-B AANAsthali-Dhungedhara-House-on-Sales-2.5-floor/,South,3-,,Kathmandu,Nagarjun,B AANAsthali,2076,Nagarjun
House for sale in Sadhbhavnagar Chandragiri | 9851167843,,27500000,1369,13,5,3,https://www.gharghaderi.com/house/1366-House-for-sale-in-Sadhbhavnagar-Chandragiri/,South east,3-,,Kathmandu,Chandragiri,Naikap,2076,Chandragiri
House for sale in Tokha Gairigaun | Near Grande | 9818424657,,27500000,1711.25,13,7,4,https://www.gharghaderi.com/house/473-House-for-sale-in-Tokha-Gairigaun-%7C-Near-Grande/,East,3-,,Kathmandu,Tokha,Gairigaun,2075,Tokha
NEW HOUSE SELL IN NAYA NAIKAP | 9861437880,,27500000,1369,13,6,5,https://www.gharghaderi.com/house/1772-NEW-HOUSE-SELL-IN-NAYA-NAIKAP/,East,3-,,Kathmandu,Chandragiri,Naikap,2076,Chandragiri
New House on Sale in Nayabasti Imadol | 9864260884 sold,,27500000,1197.87,13,5,4,https://www.gharghaderi.com/house/2757-New-House-on-Sale-in-Nayabasti-Imadol/,East,3-,,Lalitpur,Mahalaxmi,Nayabasti,2076,Mahalaxmi
New house for sale in Sitapaila 4 Nagarjun Kathmandu | 9869573665,,27500000,1283.43,12,4,4,https://www.gharghaderi.com/house/567-New-house-for-sale-in-Sitapaila-4-Nagarjun-Kathmandu/,North east,3-,,Kathmandu,Nagarjun,Sitapaila,2075,Nagarjun
New house for sale in Tokha Grande Hospital | 9840872228,,27500000,1369,13,5,5,https://www.gharghaderi.com/house/716-New-house-for-sale-in-Tokha-Grande-Hospital/,East,3-,,Kathmandu,Tokha,Greenland,2075,Tokha
"Residential Building On Sale at Paradise Colony, Bhangal | 9745300858",,27500000,1197.87,13,3,3,https://www.gharghaderi.com/house/2761-Residential-Building-On-Sale-at-Paradise-Colony-Bhangal/,South east,3-,,Kathmandu,Budhanilkantha,"Paradise Colony, Bhangal",2076,Budhanilkantha
New house for sale in Bhaktapur Naya thimi - 04 | 9863034467,,27499999,1197.87,13,7,3,https://www.gharghaderi.com/house/2278-New-house-for-sale-in-Bhaktapur-Naya-thimi---04/,North east,3-,,Bhaktapur,Madhyapur Thimi,Ss college near city flash swimming pool,2074,Madhyapur Thimi
Attractive New House on Sale in Imadol | 9864260884 sold,,27000000,1197.87,13,6,4,https://www.gharghaderi.com/house/2429-Attractive-New-House-on-Sale-in-Imadol/,North east,3-,,Lalitpur,Mahalaxmi,Imadol Nayabasti,2076,Mahalaxmi
"Beautiful house for sale at Civil Homes, Sitapaila","Civil Homes Sitapaila, 44618",27000000,1369,14,4,3,https://nepalhomesearch.com/property/house-for-sale-at-civil-homes-sitapaila/,East,3-,2079,kathmandu,,,,
Brand new house for sale in Chapali | 9863315491,,27000000,1540.125,12,5,4,https://www.gharghaderi.com/house/904-Brand-new-house-for-sale-in-Chapali/,west,3-,,Kathmandu,Budhanilkantha,Chapali,,Budhanilkantha
Fully furnished home on sale Karyabinayak Homes Bhaisepati,"Karyabinayak Homes, Bhaisepati ",27000000,1069.53,,4,4,https://nepalhomesearch.com/property/karyabinayak-homes/,South-east,3-,2077,lalitpur,,,,
"House On Sale At Bhangal, Budhanilkantha | 9819311255 sold",,27000000,1369,12,5,4,https://www.gharghaderi.com/house/1347-House-On-Sale-At-Bhangal-Budhanilkantha/,South east,3-,,Kathmandu,Budhanilkantha,Bhangal,2076,Budhanilkantha
House at boudha nayabasti | 9865556659,,27000000,1369,13,4,4,https://www.gharghaderi.com/house/1115-House-at-boudha-nayabasti/,East,3-,,Kathmandu,Kathmandu,Boudha,2072,Kathmandu
"House for Sale, Ekatabasti, Balwakhani, Budanilkantha | 9842641116",,27000000,1440,12,3,3,https://www.gharghaderi.com/house/1988-House-for-Sale-Ekatabasti-Balwakhani-Budanilkantha/,East,3-,,Kathmandu,Budhanilkantha,Balwakhani,2067,Budhanilkantha
House for sale at Kapan Sundarbasti | 9851249307,,27000000,1369,13,5,5,https://www.gharghaderi.com/house/1118-House-for-sale-at-Kapan-Sundarbasti/,East,3-,,Kathmandu,Budhanilkantha,Kapan,2076,Budhanilkantha
