title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
Lavish Bungalow on sale at Basundhara Kathmandu | 9851155216,,100000000,3422.5,22,5,5,https://www.gharghaderi.com/house/3551-Lavish-Bungalow-on-sale-at-Basundhara-Kathmandu/,East,3+,,Kathmandu,Tokha,Basundhara,2076,Tokha
Magnificent Villa on 17 aana for sale at Bhaisepati Lalitpur,"Bhaisepati, 44700",100000000,5818.25,,4,3,https://nepalhomesearch.com/property/magnificent-villa-bhaisepati-lalitpur/,,,,lalitpur,,,,
Narayanthan Brand New Modern Bungalow On Sale | 9847369375,,100000000,6160.5,16,6,5,https://www.gharghaderi.com/house/1829-Narayanthan-Brand-New-Modern-Bungalow-On-Sale/,South east,3+,,Kathmandu,Budhanilkantha,Narayanthan,2076,Budhanilkantha
Narayanthan Classical Bungalow on Sale | 9840872228,,100000000,6160.5,16,5,5,https://www.gharghaderi.com/house/1610-Narayanthan-Classical-Bungalow-on-Sale/,East,3-,,Kathmandu,Budhanilkantha,Narayanthan,2076,Budhanilkantha
Pasikot Villa in Budhanilknatha,"Pasikot Budhanilkantha, 22644",100000000,6845,20,4,4,https://nepalhomesearch.com/property/pasikot-villa/,North-west,3+,2077,kathmandu,,,,
Two houses for sale at Tahachal Kathmandu,Tahachal,100000000,3764.75,,12,12,https://nepalhomesearch.com/property/two-houses-for-sale-at-tahachal/,,3+,2077,kathmandu,,,,
beautiful bungalow budhanilkantha | 9840872228,,100000000,7187.25,16,5,5,https://www.gharghaderi.com/house/1085-beautiful-bungalow-budhanilkantha/,South,3+,,Kathmandu,budhanilkantha,narayan than,2076,budhanilkantha
hattigauda 20  AANA bungalow | 9840872228,,100000000,6845,15,5,5,https://www.gharghaderi.com/house/1284-hattigauda-20- AANA-bungalow/,East,3+,,Kathmandu,Budhanilkantha,Hattigauda,2071,Budhanilkantha
royal bungalow | 9840872228,,100000000,7187.25,16,5,5,https://www.gharghaderi.com/house/1086-royal-bungalow/,South,3+,,Kathmandu,budhanilkantha,narayan than,2067,budhanilkantha
डिल्लीबजारमा भाडा खाने घर बिक्रीमा,"Thirbam Sadak, Charkhal Dillibazar .",100000000,2395.75,13,33,13,https://nepalhomesearch.com/property/%e0%a4%a1%e0%a4%bf%e0%a4%b2%e0%a5%8d%e0%a4%b2%e0%a5%80%e0%a4%ac%e0%a4%9c%e0%a4%be%e0%a4%b0%e0%a4%ae%e0%a4%be-%e0%a4%ad%e0%a4%be%e0%a4%a1%e0%a4%be-%e0%a4%96%e0%a4%be%e0%a4%a8%e0%a5%87-%e0%a4%98/,North,3-,,kathmandu,,,,
Bungalow on sale | 9860304238,,96000000,4107,12,3,3,https://www.gharghaderi.com/house/1641-Bungalow-on-sale/,South,3+,,Kathmandu,Kathmandu,Khusibu,2067,Kathmandu
"Main Area: Near Singhadurbar,  AANAmnagar House 11.5  AANA For Sale | 9823166777",,95500000,3935.875,13,7,4,https://www.gharghaderi.com/house/2131-Main-Area:-Near-Singhadurbar- AANAmnagar-House-11.5- AANA-For-Sale/,East,3+,,Kathmandu,Kathmandu, AANAmnagar,2067,Kathmandu
Modern bungalow for sale at Budhanilkantha Kathmandu,Budhanilkantha ,95000000,6845,,5,5,https://nepalhomesearch.com/property/bungalow-for-sale-at-budhanilkantha/,,3+,2072,kathmandu,,,,
Exclusive Villa for sale at Budhanilkantha Kathmandu,Budhanilkantha ,93000000,6160.5,,5,5,https://nepalhomesearch.com/property/for-sale-at-budhanilkantha/,,3+,2077,kathmandu,,,,
House on sale at Kalimati Kathmandu,Kalimati 44600,92500000,3422.5,13,5,5,https://nepalhomesearch.com/property/house-on-sale-at-kalimati-kathmandu/,South-east,3+,,kathmandu,,,,
Modern house for sale on 18 anna at Budhanilkantha,Budhanilkantha ,92500000,6160.5,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-on-18-anna-at-budhanilkantha/,,3+,2075,kathmandu,,,,
