Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,lat,lng
26500000.0,"Baluwakhani (Kapan), Kathmandu",2.5,4.0,4.0,1369.0,13.0,Kathmandu,West,27.74123,85.34498
21000000.0,"245, Tukucha Marga, Kirtan Chok, Baluwatar, Kathmandu",2.5,3.0,7.0,684.5,13.0,Kathmandu,West,27.7216,85.32967
23000000.0,"Tikathali (Mahalaxmi), Lalitpur",2.5,2.0,4.0,1369.0,13.0,Kathmandu,West,27.65554,85.36187
17000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,2.0,2.0,1369.0,13.0,Kathmandu,West,27.77198,85.35914
40000000.0,"budanilkantha, Budhanilkantha, Kathmandu",2.5,2.0,2.0,1711.25,13.0,Kathmandu,West,27.77198,85.35914
19000000.0,"Orpach, Siddhipur, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44708, Nepal",2.5,4.0,6.0,1369.0,13.0,Lalitpur,West,27.66063,85.32136
22000000.0,"Naya Nagar, Kusanti, Lalitpur, Bagmati Pradesh, 40000, Nepal",2.5,2.0,4.0,1475.95,13.0,Lalitpur,West,27.67621,85.30356
13200000.0,Lalitpur > Sanagau (Mahalaxmi),2.5,3.0,5.0,855.625,13.0,Lalitpur,West,27.66063,85.32136
27000000.0,"सीतापाखा, Imadol",2.5,5.0,5.0,1026.75,13.0,Lalitpur,West,27.65836,85.34404
26000000.0,"Lalitpur City, Lalitpur",2.5,2.0,3.0,941.1875,13.0,Lalitpur,West,24.68488,78.41033
25000000.0,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",2.5,3.0,4.0,1026.75,13.0,Kathmandu,West,27.77198,85.35914
17000000.0,"Dhobighat, Lalitpur",2.5,2.0,7.0,684.5,13.0,Lalitpur,West,27.67689,85.30048
20000000.0,"All Core Lalitpur, Lalitpur",2.5,3.0,4.0,855.625,13.0,Lalitpur,West,24.70388,78.43252
23000000.0,"Bagdol, Lalitpur",2.5,2.0,4.0,1026.75,13.0,Lalitpur,West,27.66904,85.30294
28500000.0,"bangal, Bhangal (Budhanilkantha), Kathmandu",2.5,3.0,4.0,1095.2,13.0,Kathmandu,West,27.79072,85.35983
16000000.0,"Aakashedhara, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44622, Nepal",2.5,2.0,6.0,1112.31,13.0,Kathmandu,West,27.79072,85.35983
26000000.0,"Panchakumari Chok, Mandikhatar",2.5,3.0,6.0,1026.75,13.0,Kathmandu,West,27.73632,85.34784
12000000.0,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2.5,3.0,4.0,1026.75,13.0,Kathmandu,West,27.71337,85.30632
21000000.0,"बूढानीलकण्ठ, Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",2.5,3.0,4.0,1026.75,13.0,Kathmandu,West,27.69329,85.32227
26000000.0,"Sir Raj Bahadur Road, Ananda Nagar, Sukedhara",2.5,4.0,6.0,1026.75,13.0,Kathmandu,West,38.89037,-77.03196
17500000.0,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2.5,3.0,3.0,1026.75,13.0,Kathmandu,West,27.71337,85.30632
87500000.0,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,4.0,4.0,2156.175,13.0,Lalitpur,West,27.64917,85.30034
42500000.0,Imadol,2.5,4.0,5.0,1369.0,13.0,Lalitpur,West,27.65836,85.34404
25000000.0,"Gwarko, Lalitpur",2.5,2.0,6.0,718.725,13.0,Lalitpur,West,27.66504,85.33217
45000000.0,"Gothatar (Kageshwor), Kathmandu",2.5,3.0,6.0,2258.85,13.0,Kathmandu,West,27.71381,85.31037
35500000.0,"Golfutar (Budhanilkantha), Kathmandu",2.5,2.0,4.0,1540.125,13.0,Kathmandu,West,27.79072,85.35983
16500000.0,"Jorpati Area, Kathmandu",2.5,4.0,6.0,1026.75,13.0,Kathmandu,West,27.72086,85.36636
47500000.0,"Khushi Khushi Hotel, Adhikari tole, Macchegaon, चन्द्रागिरि, काठमाडौं, Bagmati Pradesh, नेपाल",2.5,2.0,3.0,2053.5,13.0,Kathmandu,West,27.70143,85.32529
22000000.0,"Kaushaltar Gathaghar Pepsicola Kadaghari Madhyapur Thimi Old Sinamangal, Sano Thimi Area, Bhaktapur",2.5,2.0,1.0,1026.75,13.0,Bhaktapur,West,27.67651,85.36691
46500000.0,Kathmandu > Sitapaila (Nagarjun),2.5,2.0,3.0,1882.375,13.0,Kathmandu,West,27.70745,85.28294
18000000.0,"kadka bhadrakali budanilkantha, Khadka Bhadrakali (Budhanilkantha), Kathmandu",2.5,3.0,4.0,855.62,13.0,Kathmandu,West,27.75708,85.34953
15000000.0,"ghamcha kritipur, Gamcha (Kirtipur), Kathmandu",2.5,2.0,3.0,941.1875,13.0,Kathmandu,West,27.66967,85.26514
61500000.0,"Mahila Ghar Marg, Sainbu, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 13775, Nepal",2.5,5.0,4.0,2053.5,13.0,Lalitpur,West,27.69066,85.31289
