Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
21000000,"Tharlam Gompa road, Sundar Tol, Baudha",35,4,8,8556.25,13,Bouddha jorpati
12500000,"Tharlam Gompa road, Sundar Tol, Baudha",3,3,6,8556.25,8,Bouddha Naya Basti
17000000,"Tharlam Gompa road, सुन्दर टोल, Baudha",3,3,11,8556.25,13,Bouddha Jorapati Kathmandu
16000000,"Thapathali, Kathmandu",0,0,0,0,13,
60000000,"Thapathali, Kathmandu",2,2,5,2395.75,13,
110000000,"Thapathali, Kathmandu",25,,,3807.53,13,Near By Kathmandu Dairy
44500000,"Thapathali, Kathmandu",3,3,6,2224.62,12,Near Norvic Hospital
16000000,"Thapathali Marg, Thapathali",1,1,2,1026.75,13,Sofa karkhana
31000000,"Thapathali Marg, Thapathali",3,3,3,2053.5,13,lalitpur
17000000,"Thapathali Marg, थापाथली",2,2,2,1026.75,12,3.5 aana
16500000,"Thapathali Marg, थापाथली",1,1,1,1369,12,
16000000,"Thapathali Marg, थापाथली",25,2,12,8556.25,12,Bouddha Jorapati Kathmandu
45000000,"Thapagaun, Kathmandu, Kathmandu Metropolitan City, Kathmandu",4,4,3,1711.25,13,
28500000,"Thankot, Chandragiri, Kathmandu, Bagmati Pradesh, 44619, Nepal",25,3,4,1129.425,12,near chandrairi cable car bottom station
29500000,"Thankot, Chandragiri, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44619, Nepal",25,3,5,1796.81,13,Highvision colony Chandragiri
16500000,"Thankot, Chandragiri, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44619, Nepal",3,3,4,855.625,12,
18500000,"Thankot bus stop, Tribhuvan Rajpath, Thankot, चन्द्रागिरी, Chandragiri, Kathmandu",,,,,,
1,"Thankot (Chandragiri), Kathmandu",25,2,6,941.18,13,Near Bhim higher secondary school
20500000,"Thankot (Chandragiri), Kathmandu",3 ana,3,6,1026.75,12,Thankot
26000000,"Thamel, Kathmandu",3,5,6,1197.875,13,
11000000,"Thamel, Kathmandu",5,3,3,855.62,8,
220000000,"Thamel, Kathmandu",,,,,,
15000000,"Thali (Kageshwor), Kathmandu",1,1,2,1026.75,13,
13000000,"Thali (Kageshwor), Kathmandu",1,2,2,1026.75,12,
16900000,"Thaiba-Damaitaar Bridge, Godamchaur",4,4,7,1026.75,20,1
50000000,"Thaiba Heights, Khushi Rd, Godawari, Nepal",25,3,4,1882.375,13,
25000000,Thaiba,3,2,3,1369,20,Thaiba Scenic Housing
16000000,"Thānkot, Chandragiri, Kathmandu",3,3,6,1026.75,13,
25000000,"Thānkot, Chandragiri, काठमाडौं, Bagmati Pradesh, नेपाल",3,2,4,7472.25,12,
90000000,"Texas International College, Kathmandu Ringroad, Bulbulley, Chabahil, Kathmandu, Bagmati Pradesh, 44660, Nepal",35,7,8,2909.125,12,
20000000,"Tenzing Chok,",3,3,3,1026.75,13,
19000000,"Tenzing Chok,",3,3,5,1026.75,12,
19000000,"Telic International Model English School (Times), Lik Marg, Kalanki, Maitri Nagar, Kathmandu, Bagmati Pradesh, 44613, Nepal",25,3,8,1026.75,5,
13500000,"Telecom, Chauni, Bhinsen Thapa Marg, Kalimati, Chhauni, Kathmandu, Kathmandu Metropolitan City, Kathmandu",,,,,,
32000000,"Tej Binayak School, Kirat Marg, Kageshwori Manohara, Kathmandu",3,4,6,1711.25,12,
21000000,"techo, Thecho (Bajrabarahi), Lalitpur",3,4,5,1026.75,13,
24000000,"techo, Thecho (Bajrabarahi), Lalitpur",25,3,3,1112.31,12,
27500000,"techo, Thecho (Bajrabarahi), Lalitpur",35,5,7,1813.925,12,
25000000,"Taukhel (Godawari), Lalitpur",2,3,2,1754.03,13,
100000000,"Taukhel (Godawari), Lalitpur",25,5,8,5476,13,
60000000,"Taukhel (Godawari), Lalitpur",25,3,5,8214,13,
27500000,"Taukhel (Godawari), Lalitpur",25,4,5,1437.45,12,
