price,Location,Floor,Bathroom,Bedroom,Land,Road Size,Land Mark,url,182.25
23000000,"Prabhawati Marg, Nakhu Bajar, Naya Nagar, Patan, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 40000, Nepal",25,3,6,0-2-3-0,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-gothatar-kathmandu-in-kathmandu/e8c56d18398e43acb073751f43ec6178,
24000000,"Dhapakhel, Lalitpur",25 Talle,3,4,0-2-3-0,13,way to dhapakhel,https://hamrobazaar.com/for-sale-house/dhapaheight-ma-naya-ghar-bikrima-in-lalitpur/e658d399cda84e65b66b0ba11550b2da,
22500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,4,5,0-2-3-0,13,Imadol Krishna Mnadir,https://hamrobazaar.com/for-sale-house/house-on-sale-at-manamaiju-in-kathmandu/7bbc60e368714a03a0be90c7bc22332f,
22000000,"Imadol (Mahalaxmi), Lalitpur",23,3,4,0-2-2-3,13,,https://hamrobazaar.com/for-sale-house/35-storey-house-is-on-saleat-budanilkantha-in-kathmandu/4efc007837e94bc681c6e4ce6d7ca1c2,
25000000,"naya bazar, NayaBazar, Kathmandu",3,4,3,0-2-2-2,12,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/f6c2a4f6a9c94b8394440a3c656d8cb5,
18000000,"kadka bhadrakali budanilkantha, Khadka Bhadrakali (Budhanilkantha), Kathmandu",2,3,4,0-2-2-0,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-at-gokarneshwar-in-kathmandu/bd40cd17af9747f0a835a9a55e1d3b28,
22000000,"Imadol (Mahalaxmi), Lalitpur",3,2,5,0-2-1-3,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-maitidevi-in-kathmandu/e7116550b1f442159941901d39a7129a,
17500000,"Madan Bhandari Memorial College, Rudmatti Marg, Kathmandu, Nepal",35,3,12,0-2.5-0-0,8,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-kalanki-in-kathmandu/658cf54a98334b15a57ba4c5becccde3,
110000000,"Dhungedhara Chok, Ring Rd, Kathmandu, Nepal",,,,0-19-0-0,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-chamati-town-planning-350-cr-in-kathmandu/9afaf6b4747141d4b5db2be1868952fc,
12500000,"Devi marg, Gyaneshwar, Dillibazar",2,3,4,0-17-1-1,13,,https://hamrobazaar.com/for-sale-house/newly-built-beautiful-strong-house-on-sale-in-lalitpur/3c65a40ee9c04cbf929dc328bcc1d792,
110000000,"Satdobato, Lalitpur",25,4,4,0-12-3-0,13,Satdobato,https://hamrobazaar.com/for-sale-house/house-on-sell-at-bagdol-ringroad-in-lalitpur/91c957c775424e628dcdaa210adf5d32,
125000000,"Bhat Bhateni (Naxal), Kathmandu",25,4,5,0-12-1-0,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-with-land-prime-location-handigaun-in-bara/2db8a1c0c0274121911bb8f68f4ff703,
