Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
6000000.0,Kanchanpur > Mahakali,1,1,2,3422.5,8.0,"Bheemdattnagar-06, Aithour, Kanchanpur"
14000000.0,"kritipur kritipur, Kirtipur (Kritipur), Kathmandu",1,1,1,1026.75,13.0,
11300000.0,"Sidheswar Marg, Panchakumari Chok, Mandikhatar",1,1.0,2.0,0-2.5-0,8.0,kapan milan chowk
16000000.0,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",1,1.0,2.0,1026.75,13.0,
17000000.0,इमाडोल,1,1.0,1.0,1026.75,12.0,
9300000.0,"अर्पाच, Siddhipur, खड्काटोल, खड्कागाउ, ललितपुर महानगरपालिका, ललितपुर, Bagmati Pradesh, नेपाल",1,1.0,1.0,1026.75,12.0,
50000000.0,Kavrepalanchok > Dhulikhel,1,4.0,4.0,9240.75,13.0,à¤§à¥à¤²à¤¿à¤–à¥‡à¤² à¤­à¤Ÿà¥à¤Ÿà¥‡à¤¡à¤¾à¤à¤¡à¤¾
20000000.0,इमाडोल,1,1.0,1.0,1026.75,13.0,
12000000.0,Matatirtha,1,1.0,2.0,1026.75,13.0,
14000000.0,"लोकतान्त्रिक चोक,",1,1.0,4.0,1026.75,13.0,
16000000.0,"Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",1,1.0,1.0,1026.75,13.0,tikathali
22500000.0,"V. S. College, Galli, Maiju Bahal, Chabahil, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44660, Nepal",1,2,2,1095.2,12.0,
10500000.0,"Kathmandu City, Kathmandu",1,1,2,1026.75,13.0,
13500000.0,"Kathmandu City, Kathmandu",1,1,3,1369,13.0,
14500000.0,"Kathmandu City, Kathmandu",1,1,2,855.625,8.0,
16500000.0,Kathmandu > Tokha Chandeshwari (Tokha),1,2,3,1129.425,12.0,Tokha saraswati near saibaba school
15500000.0,Kathmandu > Ratopul (Gyaneshwar),1,1,2,1026.75,8.0,Rudra Marg
22500000.0,Kathmandu > Pasikot (Budhanilkantha),1,2,2,1283.4375,12.0,Pasikot budanilkhanth kathmandu
28500000.0,Kathmandu > Narayanthan (Budhanilkantha),1,1,3,2053.5,12.0,NEARBY MAHADEV COLONY. RUDRESHWOR.
22100000.0,Kathmandu > Mahankhal (Budhanilkantha),1,1,2,1437.45,12.0,à¤®à¤¹à¤¾à¤‚à¤•à¤¾à¤² à¤“à¤°à¤¾à¤²à¥‹ à¤¨à¤œà¤¿à¤•à¥ˆ
16500000.0,Kathmandu > Khadka Bhadrakali (Budhanilkantha),1,3,2,1711.25,13.0,Budhanilkantha Ganesh school
15400000.0,Kathmandu > Kapan,1,1,2,1026.75,13.0,Baaluwakhani
24000000.0,"Koteshwor, Kathmandu",1,1,1,1369,12.0,
28500000.0,Kathmandu > Budhanilkantha,1,1,3,2053.5,12.0,NEARBY EXIT OF MAHADEV COLONY.
15000000.0,"Thali (Kageshwor), Kathmandu",1,1.0,2.0,1060.975,13.0,Thali ktm
15000000.0,Imadol,1,1,1,1026.75,12.0,
35000000.0,"Makalbari (Jorpati), Kathmandu",1,4.0,4.0,2053.5,13.0,
17000000.0,"nikleshwor(Kapan), Kathmandu",1,1,3,1026.75,13.0,
16500000.0,"Tikathali (Mahalaxmi), Lalitpur",1,0,0,13690,13.0,
8500000.0,"तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,1.0,2.0,684.5,13.0,
5500000.0,"Hetauda, Makwanpur",1,1,2,5476,13.0,
45000000.0,"Makalbari Marg (Ka), मकलबारी, गोकर्णेश्वर",1,1.0,2.0,2738,13.0,
35000000.0,"Makalbari (Jorpati), Kathmandu",1,1.0,2.0,2738,13.0,
24500000.0,"Harisiddhi, Lalitpur",1,3,5,1133.7,12.0,
17500000.0,Imadol,1,1,2,1026.75,12.0,1 km from Kist hospital
36500000.0,"Makalbari Marg (Ka), मकलबारी, गोकर्णेश्वर",1,1.0,2.0,2738,13.0,
16500000.0,"Thapathali Marg, थापाथली",1,1,1,1369,12.0,
35000000.0,"Hitaisi Marg, किरण चोक, बालुवाटार",1,1,1,684.5,13.0,
23500000.0,"Harisiddhi, Lalitpur",1,2,2,1711.25,12.0,"Harisiddhi, 800 m away from Harisdhi School, Lalitpur"
16000000.0,"Thapathali Marg, Thapathali",1,1,2,1026.75,13.0,Sofa karkhana
12500000.0,Thulo Bharyang,1,1,3,3422.5,13.0,
7000000.0,Makwanpur (Hetauda) > Karra,1,1.0,1.0,2874.9,13.0,
35000000.0,"Gongabu (Tokha), Kathmandu",1,1,3,2156.175,13.0,
16500000.0,Golphutar,1,1,2,1369,13.0,
34000000.0,"Halgada Chowk, Sunsari (Itahari)",1,0,0,5467.5,20.0,
75000000.0,"vanasthali, Banasthali, Kathmandu",1,1.0,1.0,2566.87,13.0,
15500000.0,थानकोट,1,1.0,3.0,2395.75,13.0,
200000000.0,"Gyaneswor, Gyaneshwar, Kathmandu",1,1,1,3080.25,13.0,
16000000.0,"Chunikhel (Budhanilkantha), Kathmandu",1,1.0,2.0,1026.75,13.0,
5500000.0,Ilam > Ilam (Other Area),1,3,2,2738,20.0,"Ilam Zilla, Suryodaya Nagar Palika, ward no. 3, Tinkhutte, Pashupatinagar."
22500000.0,"madhya baneshwor new baneswhwar old purano baneswor, Mid Baneshwor, Kathmandu",1,1,1,898.4,13.0,
16500000.0,"Kathmandu, Bagmati Pradesh, Nepal",1 Floor,1,2,1026.75,13.0,
9500000.0,"Adarshnagar Stadium, Parsa (Birgunj)",1 floor,1,2 bedroom,1184.625,13.0,Near Sai Temple (beside Radhekripa housing)
15500000.0,"Lubhu (Mahalaxmi), Lalitpur",1 with extra room on top,1,3,1069.53,13.0,Genius International IB School or Matab Tole
26500000.0,"Imadol (Mahalaxmi), Lalitpur",1-Feb,3,5,787.175,13.0,
24000000.0,"Thali, Kageshwori Manohara, Kageshwori Manohara Municipality, Kathmandu, Bagmati Pradesh, 46603, Nepal",1.5,3.0,6.0,1818.2,12.0,milanchowk
220000000.0,"Chandol, Kathmandu",1.5,7.0,6.0,7187.25,13.0,
11000000.0,"Kathmandu City, Kathmandu",1.5,2.0,3.0,1112.31,13.0,
25000000.0,"Godawari, Lalitpur",1.5,4.0,2.0,1754.03,13.0,GODAWARI VILLAGE RESORT
17500000.0,"Malepatan, Kaski (Pokhara)",1.5,2.0,6.0,1369,8.0,Malepatan
22000000.0,"Maitidevi, Kathmandu",1/4/1900,5.0,5.0,684.5,8.0,Maitidevi temple
37500000.0,Kathmandu > Gyaneshwar,10,6,5,1369,13.0,kalopull nagik gyaneswor jane bato ma
55000000.0,"Bal Kumari Marg, पानीपोखरी, Lazimpat",11,1.0,1.0,1711.25,13.0,
180000000.0,"Rudramati Chowk, Mandikhatar",12,4.0,6.0,9583,13.0,Mandikhatar Hight
52500000.0,"Dhumbarahi Pipal Bot, Dhumbarahi",12,3,8,1711.25,20.0,Chandol chwok
65000000.0,"Chundevi (Maharajgunj), Kathmandu",12,3.0,6.0,2053.5,20.0,
36000000.0,"Dhumbarahi Area, Kathmandu",12,3,3,1369,13.0,Near Dhumbarahi Chowk
67500000.0,"Bansbari Area, Kathmandu",12,2,6,2395.75,13.0,Near British Gorakha Acedemy
50000000.0,"Bansbari Area, Kathmandu",12,3,4,1711.25,13.0,Near Hotel Sambala
65000000.0,"Mid Baneshwor, Kathmandu",12,4.0,6.0,2738,20.0,Near Ratna Rajay School Mid Baneshwor
40000000.0,"Shree Panchakanya Lower Secondary School, Gitanjali Marg, Laligurans Chok, Chappal Karkhana, Kathmandu",12,4,5,1369,13.0,Panchakanya Baluwatr
26500000.0,"Baluwakhani (Kapan), Kathmandu",12,4.0,4.0,1369,13.0,Near HAMS Hospital
21000000.0,"245, Tukucha Marga, Kirtan Chok, Baluwatar, Kathmandu",123,3,7,684.5,13.0,Gairidhara near Alice restaurant
40000000.0,"Basundhara Area, Kathmandu",123,5,5,1711.25,20.0,
15000000.0,"Karunamaya Marg, Nhugha, Kalimati, Kathmandu, Bagmati Pradesh, 04110, Nepal",12x12,2,2,616.05,8.0,
11000000.0,"Jayantidanda, Dhading Besi, Nilakantha, धादिङ, Bagmati Pradesh, नेपाल",13,3.0,5.0,1369,8.0,Dhading bensi nilkantha 4.
23000000.0,"Tikathali (Mahalaxmi), Lalitpur",13,2,4,1369,13.0,
16000000.0,"Gokarna (Gokarneshwar), Kathmandu",15,2,2,1129.425,20.0,
13000000.0,"kopan, Kapan, Kathmandu",15,2,2,1026.75,12.0,
14500000.0,"Basundhara Golfutar Bansbari Gongabu, Dhapasi Area, Kathmandu",15,2,4,855.625,5.0,
17000000.0,"budanilkantha, Budhanilkantha, Kathmandu",15,2,2,1369,13.0,
40000000.0,"budanilkantha, Budhanilkantha, Kathmandu",15,2,2,1711.25,13.0,
19000000.0,"Orpach, Siddhipur, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44708, Nepal",15,4,6,1369,13.0,
13500000.0,"Dhapasi (Tokha), Kathmandu",15,0,6,855.625,8.0,
22000000.0,"Naya Nagar, Kusanti, Lalitpur, Bagmati Pradesh, 40000, Nepal",15,2,4,1475.95,13.0,
9999999.0,"Chandragiri Cable Car Base Station, Chandragiri, Nepal",15,1,1,855.625,13.0,
8300000.0,"Jharuwarasi (Bajrabarahi), Lalitpur",15,1,2,1711.25,13.0,Santaneshwor
13200000.0,Lalitpur > Sanagau (Mahalaxmi),15,,,855.625,13.0,Sanagaun cycle pasal chowk
25000000.0,"naya bazar, NayaBazar, Kathmandu",15,3,6,1026.75,12.0,"Balaju bridge, Valley Cold Store"
52500000.0,"Nyalma Marg, Dathu Tol, नक्साल",2,3,4,2738,12.0,
23300000.0,"Achham (Other Area), Achham",2,2,4,1326.21,13.0,
27000000.0,"सीतापाखा, Imadol",2,5.0,5.0,1026.75,13.0,
27000000.0,"Baniyatar Dhapasi Gongabu Jhor Mahankal Tokha Chandeshwari Tokha Saraswati, Tokha Area, Kathmandu",2,3,6,2053.5,8.0,kumari bank
21000000.0,"Balkhu, Kathmandu",2,3,4,1026.75,12.0,
