title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking size,built year
A house for sale in Bhaisepati on 11 aana land,"Bhaisepati, Karyabinayak, Nepal",53500000,11,13,6,5,https://nepalhomesearch.com/property/house-for-sale-in-bhaisepati/,West,4,2019
Modern house for sale at Maligaun Kathmandu,"Hadigaun Marg, Kathmandu 44600, Nepal",75000000,11,,4,5,https://nepalhomesearch.com/property/house-for-sale-at-maligaun/,,4,2010
Bungalow on sale at Mandikhatar Kathmandu,"Thirbam Sadak, Charkhal Dillibazar Kathmandu.",85000000,11,18,5,5,https://nepalhomesearch.com/property/bungalow-on-sale-at-mandikhatar-kathmandu/,East,2,2070
Two houses for sale at Tahachal Kathmandu,"Tahachal, Kathmandu",100000000,11,,12,12,https://nepalhomesearch.com/property/two-houses-for-sale-at-tahachal/,,8,2020
"House on sale at Milanchowk, Baneshwor Kathmandu",Milanchowk Baneshwor Kathmandu,85000000,11,,5,4,https://nepalhomesearch.com/property/house-on-sale-at-milanchowk-baneshwor-kathmandu/,,5,1990
Modern House on 10 Anna land on sale at Bafal Kathmandu,Bafal Kathmandu,85000000,11,,3,4,https://nepalhomesearch.com/property/modern-house-on-10-anna-land-on-sale-at-bafal-kathmandu/,None,4,2010
House for sale at Nayabazar Kathmand made on 10 aana,"Rayamajhi Tol, Nayabazar Kathmandu",47250000,11,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-nayabazar-made-on-10-aana/,,3,2000
Wonderful Bungalow at Tripureshwor,"Tripureshwar, Kathmandu, Bagmati Pradesh, Nepal",80000000,10,13,6,5,https://nepalhomesearch.com/property/wonderful-bungalow-sale-at-tripuresh/,West,5,2010
"House for sale on 10 anna land at Tinkune, Subidhanagar!",Tinkune Kathmandu,60000000,10,,5,5,https://nepalhomesearch.com/property/house-for-sale-on-10-anna-land-at-tinkune-kathmandu/,,5,2005
Beautiful House for sale in Dholahiti Lalitpur,"Dholahiti, Lalitpur, Bagmati Pradesh, 44700, Nepal",80000000,10,13,4,3,https://nepalhomesearch.com/property/beautiful-house-for-sale-in-dholahiti-lalitpur/,North-east,4,2005
Beautiful house for sale at Kupandole Lalitpur,"Kupondole, Patan, Lalitpur, Bagmati Pradesh, 00779, Nepal",100000000,10,16,4,3,https://nepalhomesearch.com/property/house-for-sale-at-kupandole/,South,4,
House for sale on 10 aana land at Khumaltar Height,"Satdobato, Lalitpur 44700, Nepal",60000000,10,,3,3,https://nepalhomesearch.com/property/house-for-sale-on-10-aana-land-at-khumaltar-height/,,4,
Attractive old house for sale at Bansbari Kathmandu,"Kapan Road, Bansbari Kathmandu",62500000,10,12,3,3,https://nepalhomesearch.com/property/attractive-old-house-for-sale-at-bansbari-kathmandu/,South,3,
A modest House for sale on 10 aana at Baluwatar Kathmandu,"Baluwatar, Kathmandu",130000000,10,,4,4,https://nepalhomesearch.com/property/a-modest-house-for-sale-on-10-aana-land-at-baluwatar/,None,2,
10 aana land with old house for sale at Shantinagar Kathmandu,10 aana land with old house for sale at Shantinagar Kathmandu,55000000,10,,5,3,https://nepalhomesearch.com/property/10-aana-land-with-old-house-for-sale-at-shantinagar-kathmandu/,,1,1995
Beautiful House at Satdobato of 10 Annas,"Satdobato, Lalitpur, Bagmati Pradesh, 44702, Nepal",70000000,10,13,13,9,https://nepalhomesearch.com/property/beautiful-house-at-satdobato/,South,,2072
House for sale at Gahana Pokhari Kathmandu,"Gahana Pokhari, Kathmandu, Bagmati Pradesh, Nepal",82500000,10,13,4,4,https://nepalhomesearch.com/property/house-for-sale-at-gahana-pokhari-kathmandu/,South-east,3,
House on sale at Kalimati Kathmandu,"Kalimati, Kathmandu 44600, Nepal",92500000,10,13,5,5,https://nepalhomesearch.com/property/house-on-sale-at-kalimati-kathmandu/,South-east,4,
Beautiful Old House For Sale At Bansbari Kathmandu,"Kapan Marga, Bansbari Kathmandu",62500000,10,13,4,3,https://nepalhomesearch.com/property/beautiful-old-house-for-sale-at-bansbari-kathmandu/,South,4,
House for sale on 9 aana at Bafal,Bafal Kathmandu,70000000,10,,3,4,https://nepalhomesearch.com/property/house-for-sale-on-9-aana-at-bafal/,East,4,2060
Sale House at Budhanilkantha,"Budhanilkantha, Nepal",60000000,9,13,4,5,https://nepalhomesearch.com/property/sale-house-at-budhanilkantha/,South-west,4,2077
Brand New House On 9 Aana Land For Sale At Budhanilkantha,"Budhanilkantha 44600, Nepal",30000000,9,18,5,5,https://nepalhomesearch.com/property/brand-new-house-on-9-aana-land-for-sale-at-budhanilkantha/,North,4,2020
Renovated House For Sale At Chappal Karkhana Kathmandu,Chappal Karkhana,70000000,9,13,5,5,https://nepalhomesearch.com/property/renovated-house-for-sale-at-chappal-karkhana-kathmandu/,South,3,
2 Beautiful Houses For Sale at Budhanilkantha,"Muhanpokhari, Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",45000000,9,18,5,4,https://nepalhomesearch.com/property/houses-for-sale-at-budhanilkantha/,North,3,2022
Flat system house for sale at Baluwatar Kathmandu,"Baluwatar, Kathmandu",75000000,9,,5,5,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-baluwatar/,,3,2015
House on 9 anna land for sale at Hepali Kathmandu,Hepali Kathmandu,70000000,9,,4,5,https://nepalhomesearch.com/property/a-house-built-on-9-anna-land-for-sale-at-hepali/,,3,
Modern House for sale at Hepali Kathmandu,"Hepali, Budhanilkantha Kathmandu",47500000,9,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-at-hepali-kathmandu/,,2,2015
House for sale on 8.5 aana land at Old Baneshwor,"Thirbam Sadak, Charkhal Dillibazar",60000000,9,,6,3,https://nepalhomesearch.com/property/house-for-sale-on-8-5-aana-land-at-old-baneshwor/,,5,
House for sale on 8 aana land New Baneshwor,"New Baneshwor, Kathmandu",80000000,9,,10,7,https://nepalhomesearch.com/property/house-for-sale-on-8-aana-land-new-baneshwor/,,2,
House for sale on 8.1 anna at Siddhartha Colony,"Siddhartha Colony Road, Budhanilkantha 44600, Nepal",41000000,8,,4,4,https://nepalhomesearch.com/property/house-for-sale-on-8-1-anna-land-at-siddhartha-colony-budhanilkantha/,,3,2017
Old house on 8 aana land for sale at Old Baneshwor,"Old Baneshwor, Kathmandu, Bagmati Pradesh, 34, Nepal",50400000,8,10,5,3,https://nepalhomesearch.com/property/old-house-on-8-aana-land-for-sale-at-old-baneshwor/,,2,
"House urgent sale at Pandu Bazar, Katunje Bhaktapur","Pandu Bazar, Bhaktapur, Bagmati Pradesh, Nepal",30000000,8,13,4,3,https://nepalhomesearch.com/property/house-urgent-sale-at-pandu-bazar-katunje-bhaktapur/,East,2,
A modern house for sale in Bagaicha Colony Budhanilkantha Kathmandu,"Bagaicha Colony, Budhanilkantha, Kathmandu, Bagmati Pradesh, Nepal",68000000,8,20,6,5,https://nepalhomesearch.com/property/bagaicha-colony-budhanilkantha/,South-west,2,2075
"A modern house for sale in Bagaicha Colony, Budhanilkantha","Bagaicha Colony, Budhanilkantha, Kathmandu, Bagmati Pradesh, Nepal",70000000,8,20,5,5,https://nepalhomesearch.com/property/house-for-sale-in-bagaicha-colony/,West,2,2021
A modern house for sale at Sanepa Lalitpur,"Sanepa, Lalitpur",65000000,8,,4,4,https://nepalhomesearch.com/property/a-modern-house-for-sale-at-sanepa-lalitpur/,,2,2018
Attractive house for sale in Valley Homes Sunakothi Lalitpur,"Valley Homes, Satitar, Sunakothi, Lalitpur",58500000,8,,4,4,https://nepalhomesearch.com/property/valley-homes-sunakothi/,,2,2016
Old house on 8 aana for sale at Bhimsengola Kathmandu,"Bhimsengola, Kathmandu 44600, Nepal",58000000,8,,5,2,https://nepalhomesearch.com/property/old-house-for-sale-at-bhimsengola/,,2,1998
Modern house for sale at Budhanikantha Kathmandu,"Budhanilkantha 44600, Nepal",65000000,8,13,5,3,https://nepalhomesearch.com/property/modern-house-for-sale-at-budhanikantha/,South,1,2060
A house on 8 annas is for sale in Hattisar Kathmandu,Hattisar Kathmandu,80000000,8,,9,6,https://nepalhomesearch.com/property/a-house-on-8-annas-is-for-sale-in-hatisar-kathmandu/,,,2000
Semi commercial house for sale at Khuanitar Lazimpat,"Khuanitar Marg, Lazimpat Kathmandu",55000000,8,,,,https://nepalhomesearch.com/property/semi-commercial-house-for-sale-at-khuanitar-lazimpat/,,,2010
Modern classic designed house for sale at Budhanilkantha,"Budhanilkantha, काठमाडौँ 44600, Nepal",55000000,8,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-budhanilkantha/,,2,2020
Single story house for sale at Galeshwor Pokhara,"Nirajan Chowk Bus Stop, पोखरा 33700, Nepal",17500000,8,20,3,2,https://nepalhomesearch.com/property/house-for-sale-at-galeshwor-pokhara/,East,5,
A modern classic style house for sale at Budhanilkantha Kathmandu,Budhanilkantha Kathmandu,55000000,8,,5,5,https://nepalhomesearch.com/property/a-modern-classic-style-house-for-sale-at-budhanilkantha-kathmandu/,,3,2000
"Urgent sale – Flat system house at Gothatar, Kathmandu","Kageshwari-Manohara Municipality, Gothatar Kathmandu",47500000,7,,5,4,https://nepalhomesearch.com/property/urgent-sale-flat-system-house-at-gothatar-mulpani/,,2,2020
6 Bedroom House For Sale at Baluwatar Kathmandu,"Baluwatar, Kathmandu",62500000,7,13,6,4,https://nepalhomesearch.com/property/6-bedroom-house-for-sale-at-baluwatar-kathmandu/,South,3,
A pleasant home for sale in Rose Villa,"Rose Villa, Siddhartha Colony Road, Budhanilkantha",58000000,7,,5,6,https://nepalhomesearch.com/property/home-for-sale-in-rose-villa/,,3,2019
Beautiful house for sale at Chandol Kathmandu,"Chandol, Kathmandu 44600, Nepal",60000000,7,13,4,5,https://nepalhomesearch.com/property/house-for-sale-at-chandol/,East,2,2010
House for sale on 7 anna at Rose Village Balkot Bhaktapur.,"Rose Village Housing, Balkot,",70000000,7,,5,9,https://nepalhomesearch.com/property/house-for-sale-rose-village-balkot/,,2,2019
House for sale in 7 annas in Dallu Kathmandu,"Dallu, Kathmandu 44600, Nepal",55000000,7,,6,4,https://nepalhomesearch.com/property/house-for-sale-in-7-annas-in-dallu-kathmandu/,,2,
"Classic house for sale at Man Bahadur Marg, Golfutar","Sundarbasti, Golfutar Kathmandu",42500000,7,,5,5,https://nepalhomesearch.com/property/classic-house-for-sale-at-man-bahadur-marg-golfutar/,,2,2018
A beautiful house is for sale in Budhanilkantha Siddhartha Colony,"Siddhartha Colony, Budhanilkantha",38000000,7,,4,4,https://nepalhomesearch.com/property/a-beautiful-house-is-for-sale-in-budhanilkantha-siddhartha-colony/,,2,2018
"House for sale on 7 annas Near Veenas Residency, Tokha","Tokha, Nepal",36500000,7,,4,4,https://nepalhomesearch.com/property/house-for-sale-on-7-annas-near-veenas-residency/,,2,2019
