title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"2.5 Storey House For Sale at Tikathali, Lalitpur",Lalitpur,Mahalaxmi-5,Tikathali,,3.5 aana,7,3,2079,4,East,https://epropertynepal.com/properties/2562-2-5-storey-house-for-sale-at-tikathali-lalitpur,26000000
"2.5 Storey House For Sale at Balkot, Bhaktpur",Bhaktapur,Bhaktapur,Balkot,,3.375 aana,4,4,2079,4,West,https://epropertynepal.com/properties/2765-2-5-storey-house-for-sale-at-balkot-bhaktpur,27500000
"2.5 Storey House For Sale at Raj Kulo Shital Height , Lalitpur",Lalitpur,Lalitpur,Raj Kulo Shital Height,,3.0625 aana,4,4,2079,4,South,https://epropertynepal.com/properties/2735-2-5-storey-house-for-sale-at-raj-kulo-shital-height-lalitpur,27500000
"House for Sale at Dhapakhel, Lalitpur",Lalitpur,Lalitpur Municipality,Dhapakhel,,3.5 aana,3,3,2079,4,South East,https://epropertynepal.com/properties/2337-house-for-sale-at-dhapakhel-lalitpur,29000000
"4.5 Storey House for Sale at New Buspark, Kathmandu",Kathmandu,New Buspark,Mitranagar,,4.0 aana,20,17,2075,4,North East,https://epropertynepal.com/properties/976-4-5-storey-house-for-sale-at-new-buspark-kathmandu,45000000
"House For Sale at Mulpani, Kathmandu",Kathmandu,Mulpani,Kageshwori Manahara-6,,3.0 aana,6,3,2075,3,North,https://epropertynepal.com/properties/1222-house-for-sale-at-mulpani-kathmandu,15000000
"House for Sale at Tikathali, Lalitpur",Lalitpur,Mahalaxmi,TIkathali,,3.3125 aana,5,2,2070,3,East,https://epropertynepal.com/properties/1150-house-for-sale-at-tikathali-lalitpur,15000000
"1 Storey House for Sale at School Chwok Sanagaun, Lalitpur with 55 lakhs Banking Facility",Lalitpur,Mahalaxmi-5,Schook Chwok,,3.0 aana,2,1,2079,3,North West,https://epropertynepal.com/properties/3004-1-storey-house-for-sale-at-school-chwok-sanagaun-lalitpur-with-55-lakhs-banking-facility,15200000
"3BHK Apartment on Sale at Balkumari, Lalitpur",Lalitpur,Patan,Balkumari,,1394.0 Sq Ft,3,2,2070,3,South East,https://epropertynepal.com/properties/1069-3bhk-apartment-on-sale-at-balkumari-lalitpur,17500000
"2.5 Storey House for Sale at Pepsicola, Kadaghari",Kathmandu,Kathmandu,Kadaghari,,2.75 aana,4,3,2079,3,South,https://epropertynepal.com/properties/2932-2-5-storey-house-for-sale-at-pepsicola-kadaghari,17500000
"Fully Furnished 3BHK Apartment on Sale at Balkumari, Lalitpur",Lalitpur,Patan,Balkumari,,1250.0 Sq Ft,3,2,2070,3,East,https://epropertynepal.com/properties/1049-fully-furnished-3bhk-apartment-on-sale-at-balkumari-lalitpur,18000000
"Full Furnished House For Sale at Nayapati ,Kathmandu",Kathmandu,Kathmandu,Gokarneshwor Municipality- 2,,7.5 aana,2,1,2079,3,East,https://epropertynepal.com/properties/678-full-furnished-house-for-sale-at-nayapati-kathmandu,18000000
"Full Furnished House For Sale at Nayapati ,Kathmandu",Kathmandu,Kathmandu,Gokarneshwor Municipality- 2,,7.5 aana,2,1,2079,3,East,https://epropertynepal.com/properties/678-full-furnished-house-for-sale-at-nayapati-kathmandu,18000000
"3 Storey House For Sale At Tikathali, Lalitpur",Lalitpur,Mahalaxmi, Tikathali,,2.5 aana,3,3,2079,3,North East,https://epropertynepal.com/properties/2634-3-storey-house-for-sale-at-tikathali-lalitpur,18500000
"3 Storey House for Sale at Tikathali, Lalitpur",Lalitpur,Mahalaxmi-5,Tikathali,,2.75 aana,5,4,2079,3,East,https://epropertynepal.com/properties/3005-3-storey-house-for-sale-at-tikathali-lalitpur,19900000
"2.5 Storey House For Sale at Imadol, Lalitpur",Lalitpur,Lalitpur,Imadol,,2.5 aana,6,3,2079,3,West,https://epropertynepal.com/properties/2786-2-5-storey-house-for-sale-at-imadol-lalitpur,20600000
"2.5 Storey House For Sale at Imadol, Lalitpur",Lalitpur,Lalitpur,Tikathali,,3.25 aana,6,3,2079,3,North,https://epropertynepal.com/properties/2662-2-5-storey-house-for-sale-at-imadol-lalitpur,22500000
"House For Sale at Kumarigal, Kathmandu",Kathmandu,Kathmandu Metropolitan city -6,Kumarigal,,3.0 aana,5,4,2079,3,West,https://epropertynepal.com/properties/2353-house-for-sale-at-kumarigal-kathmandu,23000000
"2.5 Storey House for Sale At Tikathali, Lalitpur",Lalitpur,Mahalaxmi,Tikathali,,3.25 aana,7,3,2079,3,West,https://epropertynepal.com/properties/2616-2-5-storey-house-for-sale-at-tikathali-lalitpur,23500000
"House for Sale at Imadol, Lalitpur",Lalitpur,Mahalaxmi-4,Imadol,,3.0 aana,5,4,2079,3,North,https://epropertynepal.com/properties/2476-house-for-sale-at-imadol-lalitpur,24000000
"2.5 Storey Semi Furnished House for Sale at Mount View Residency Phase I, Harisiddhi",Lalitpur,Lalitpur,Harisiddhi,,3.375 aana,3,5,2060,3,North West,https://epropertynepal.com/properties/2988-2-5-storey-semi-furnished-house-for-sale-at-mount-view-residency-phase-i-harisiddhi,24000000
"2.5 Storey House for Sale at Gothatar, Kathmandu",Kathmandu,Kathmandu,Gothatar,,3.125 aana,6,3,2075,3,East,https://epropertynepal.com/properties/2708-2-5-storey-house-for-sale-at-gothatar-kathmandu,24000000
"2.5 Storey House For Sale at Sanagaun, Tikathali with 1 crore Banking facility",Lalitpur,Mahalaxmi-5,Tikathali,,3.0 aana,6,5,2079,3,East,https://epropertynepal.com/properties/3003-2-5-storey-house-for-sale-at-sanagaun-tikathali-with-1-crore-banking-facility,25000000
"2.5 Storey House For Sale at Bhandari Gaun, Tikathali with 1 crore Banking facility",Lalitpur,Mahalaxmi-5,Tikathali,,3.25 aana,6,5,2079,3,South,https://epropertynepal.com/properties/3002-2-5-storey-house-for-sale-at-bhandari-gaun-tikathali-with-1-crore-banking-facility,25000000
"3 Storey House For Sale at Bhandari Gaun, Tikathali with 1 crore Banking facility",Lalitpur,Mahalaxmi-5,Tikathali,,3.25 aana,6,4,2079,3,South,https://epropertynepal.com/properties/3001-3-storey-house-for-sale-at-bhandari-gaun-tikathali-with-1-crore-banking-facility,26000000
