district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,floor,Road
Kathmandu,Balaju,Ganga Hall Marg,47500000,3080.25,11,10,2070,3+,North East,5.5,20
Kathmandu,Kathmandu,Machhapokhari,52500000,2181.84375,20,21,2079,3+,North East,4.5,13
Bhaktapur,Bhaktapur,Bode,45500000,2053.5,13,7,2079,3+,North East,4.5,13
Lalitpur,Kusunti,Jhulpakha,26000000,1882.375,6,3,2075,3+,North East,2.5,14
Bhaktapur,Bhaktapur,Kausaltar,32500000,1882.375,10,4,2070,3+,North East,4,26
Lalitpur,Lalitpur,Bhainsepati,50000000,1796.8125,5,6,2079,3+,North East,2.5,15
Kathmandu,Kathmandu,Basundhara,42500000,1454.5625,8,4,2070,3+,North East,4.5,24
Kathmandu,Chandragiri-11,Satungal,29000000,1369,8,5,2070,3+,North East,3.5,20
Kathmandu,Gokarneshwor,Jorpati,37000000,1369,6,6,2070,3+,North East,3.5,25
Lalitpur,Mahalaxmi,Imadol,25000000,1369,4,4,2079,3+,North East,2.5,13
Kathmandu,New Buspark,Mitranagar,45000000,1369,20,17,2075,3+,North East,4.5,13
Kathmandu,Kathmandu-14,Kalanki,45000000,1347.609375,6,4,2079,3+,North East,3,12
Lalitpur,Lalitpur,Khumaltar,23000000,1326.21875,4,4,2079,3+,North East,3.5,10
Lalitpur,Mahalaxmi,Dhunge Sangu,27500000,1283.4375,7,5,2079,3+,North East,2.5,8
Kathmandu,Chandragiri-10,Satungal,23000000,1197.875,6,4,2070,3+,North East,3.5,14
Lalitpur,Mahalaxmi-5,Tikathali,15500000,1112.3125,2,1,2079,3+,North East,1,13
Kathmandu,Kathmandu,Chabahil,23500000,1069.53125,5,3,2075,3+,North East,2.5,13
Lalitpur,Mahalaxmi, Tikathali,18500000,855.625,3,3,2079,3+,North East,3,10
Lalitpur,Balkumari,Kharibot,15000000,855.625,5,3,2070,3-,North East,3.5,18
Kathmandu,Kathmandu,Infront of Raja Birendra Marga,73000000,3935.875,21,4,2030,3+,North West,3.5,20
Kathmandu,Kathmandu,Tinthana,50000000,2762.29975,7,3,2060,3+,North West,3,24
Bhaktapur,Bhaktapur,Bode,28000000,1369,6,3,2079,3+,North West,2.5,13
Kathmandu,Gongabu,Baniyatar,23750000,1197.875,6,5,2075,3+,North West,3,12
Lalitpur,Mahalaxmi-4,Boje Pokhari,27500000,1155.09375,6,4,2079,3+,North West,3,13
Lalitpur,Lalitpur,Harisiddhi,24000000,1155.09375,3,5,2060,3+,North West,2.5,20
Lalitpur,Balkumari,Kharibot,30000000,1026.75,6,4,2075,3+,North West,3.5,10
Lalitpur,Mahalaxmi-5,Schook Chwok,15200000,1026.75,2,1,2079,3+,North West,1,13
Lalitpur,Mahalaxmi,Tikathali,24100000,1026.75,7,3,2079,3-,North West,2.5,13
Lalitpur,Bhainsepati,Near Mediciti Hospital,62500000,3807.53125,8,6,2060,3+,South,3.5,14
Kathmandu,Budhanilkantha,Budhanilkantha,16500000,1711.25,9,3,2075,3+,South,2.5,14
Lalitpur,Hattiban,Kharibot,58000000,1711.25,5,5,2075,3+,South,3.5,24
Kathmandu,Gausala,Ratopol,220000000,5133.75,28,11,2070,3+,South,6.5,15
Kathmandu,Kathmandu,Samakhusi,72500000,3422.5,6,6,2079,3-,South,2.5,26
Bhaktapur,Suryabinayak-2,Balkot,55000000,2566.875,3,3,2079,3+,South,3.5,26
Kathmandu,Kathmandu,Thamel,55000000,2012.43,6,4,2030,3+,South,3.5,8
Kathmandu,Kathmandu,Budhanilkantha,49500000,1967.9375,5,5,2079,3+,South,2.5,13
Kathmandu,Tokha,Suryadanda,36100000,1711.25,7,3,2070,3+,South,3.5,18
Kathmandu,Budhanilkantha Municipality -8,Bhangal,17500000,1540.125,2,1,2079,3+,South,1,16
Kathmandu,Kathmandu,Gaurighat,35000000,1390.390625,12,8,2070,3+,South,4,10
Lalitpur,Mahalaxmi-9,Lubhu,23500000,1262.046875,6,6,2079,3+,South,2,20
Kathmandu,Nagarjun- 8,Ramkot,19000000,1197.875,2,4,2075,3+,South,2.5,13
Lalitpur,Mahalaxmi-5,Tikathali,25000000,1112.3125,6,5,2079,3+,South,2.5,13
Kathmandu,Kathmandu,New Buspark,36000000,1112.3125,23,15,2060,3-,South,5.5,12
Lalitpur,Mahalaxmi-5,Tikathali,23000000,1069.53125,6,3,2079,3+,South,3,12
Lalitpur,Lalitpur,Raj Kulo Shital Height,27500000,1048.140625,4,4,2079,3+,South,2.5,20
Lalitpur,Mahalaxmi,Tikathali,18500000,1026.75,4,2,2079,3+,South,2.5,13
Lalitpur,Lalitpur,Imadol,21500000,1026.75,7,4,2079,3+,South,2.5,10
Kathmandu,Kathmandu, Budhanilkantha,28000000,1026.75,4,4,2079,3+,South,2.5,13
Kathmandu,Kathmandu,New Buspark,23000000,1026.75,15,8,2075,3-,South,4.5,10
Kathmandu,Kathmandu,Kadaghari,17500000,941.1875,4,3,2079,3+,South,2.5,8
Lalitpur,Lalitpur,Hattiban,8000000,605,2,1,2079,3-,South East,1,12
Lalitpur,Patan,Balkumari,17500000,1394,3,2,2070,3+,South East,12,20
Kathmandu,Budhanilkantha-4,Budhanilkantha,85000000,3764.75,6,4,2079,3+,South East,2.5,13
Kathmandu,BUdhanilkantha-1,Budhanilkantha,70000000,2395.75,5,6,2079,3+,South East,2.5,14
Kathmandu,Kathmandu,Baluwatar,41000000,2395.75,11,4,2060,3+,South East,4,12
Kathmandu,Kathmandu,Kalanki,60000000,1711.25,20,10,2070,3+,South East,5.5,26
Kathmandu,Chandragiri,Naya Naikap,29000000,1454.5625,7,4,2079,3+,South East,3.5,13
Kathmandu,Kageshwori Manohara -7,Kadaghari,23500000,1369,6,4,2079,3+,South East,2.5,20
Kathmandu,Gokarneshwor-2,Nayapati,26000000,1283.4375,6,3,2075,3+,South East,3,22
Lalitpur,Lalitpur Municipality,Dhapakhel,29000000,1197.875,3,3,2079,3+,South East,2.5,26
Lalitpur,Lalitpur,Tikathali,23500000,1112.3125,5,4,2079,3+,South East,2.5,13
Kathmandu,Chandragiri,Thankot,14500000,1026.75,2,3,2079,3+,South East,2.5,13
Kathmandu,Chandragiri- 12,Balambu,14500000,855.625,5,3,2075,3+,South East,2.5,10
Kathmandu,Kathmandu,Kapan,52500000,3080.25,5,5,2075,3+,South West,2.5,20
Kathmandu,Tokha- 11,Gongabu,55000000,2738,11,6,2070,3+,South West,3.5,12
Kathmandu,Kapan,Budhanilkantha,30000000,1711.25,5,4,2079,3+,South West,2.5,13
Kathmandu,Kathmandu, Syuchatar,25000000,1711.25,5,4,2070,3+,South West,3,4
Lalitpur,Mahalaxmi,Tikathali,25000000,1112.3125,6,3,2079,3+,South West,2.5,13
Kathmandu,Kageshwori Manohara-07,Birendra Chowk,24000000,1048.140625,6,3,2079,3+,South West,2.5,13
Kathmandu,Nagarjun-03,Ratomate,13000000,941.1875,4,3,2075,3+,West,2.5,10
Kathmandu,Kathmandu,"Bhotebahal,Teku",36500000,577.546875,8,3,2060,3-,West,3.5,10
Kathmandu,Samakhusi,Ranibari,45000000,2652.4375,7,8,2079,3+,West,4.5,10
Kathmandu,Kathmandu,Boudha,35000000,1754.03125,5,4,2070,3+,West,2.5,20
Bhaktapur,Suryabinayak,Srijana Nagar,30000000,1711.25,5,5,2070,3+,West,2.5,18
Kathmandu,Chandragiri,Purano Naikap,30000000,1711.25,5,4,2079,3+,West,2.5,10
Kathmandu,Budhanilkantha,Kapan,31000000,1625.6875,5,4,2079,3+,West,2.5,12
Bhaktapur,Madhyapur Thimi-3,Chardobato,31000000,1540.125,5,4,2070,3+,West,2.5,12
Kathmandu,Kageshwori Manohara,Pepsicola,25500000,1454.5625,6,4,2079,3+,West,2.5,13
Lalitpur,Lalitpur,Tikathali,17000000,1433.171875,2,1,2079,3+,West,1,10
Lalitpur,Mahalaxmi,Imadol,20000000,1411.78125,7,3,2060,3+,West,3.5,12
Bhaktapur,Suryabinayek-1,Sirutar,15000000,1369,2,1,2079,3+,West,1,13
Kathmandu,Guheshwori Planning,Guheshwori Planning,28000000,1283.4375,8,4,2079,3+,West,2.5,20
Lalitpur,Mahalaxmi- 02,Imadol,22500000,1197.875,6,3,2079,3+,West,2.5,16
Bhaktapur,Bhaktapur,Balkot,27500000,1155.09375,4,4,2079,3+,West,2.5,13
Kathmandu,Lalitpur,Tikathali,17200000,1112.3125,2,1,2079,3+,West,1,13
Lalitpur,Mahalaxmi,Tikathali,23500000,1112.3125,7,3,2079,3+,West,2.5,20
Lalitpur,Mahalaxmi-4,Imadol,24000000,1047.285,4,4,2079,3+,West,2.5,16
Kathmandu,Kathmandu,Dhungedhara,33000000,1026.75,5,4,2079,3+,West,3,13
Lalitpur,Mahalaxmi,Imadol,22500000,1026.75,4,4,2079,3+,West,2.5,13
Kathmandu,Kathmandu Metropolitan city -6,Kumarigal,23000000,1026.75,5,4,2079,3+,West,3,14
Lalitpur,Mahalaxmi,Imadol,26500000,1026.75,5,3,2079,3+,West,3,13
Lalitpur,Lalitpur,Saibu,21500000,855.625,5,3,2079,3+,West,2.5,13
Lalitpur,Lalitpur,Imadol,20600000,855.625,6,3,2079,3+,West,2.5,13
