floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
4.5,Kathmandu,Kathmandu,Machhapokhari,2181.84375,52500000,20,21,North East,13,https://epropertynepal.com/properties/999-4-5-storey-house-for-sale-at-machhapokhari-kathmandu
2,Lalitpur,Mahalaxmi-9,Lubhu,1262.046875,23500000,6,6,South,13,https://epropertynepal.com/properties/2548-2-5-storey-house-for-sale-at-lubhu-lalitpur
3.5,Bhaktapur,Madyapur Thimi,Lokanthali,1197.875,27500000,8,4,West,13,https://epropertynepal.com/properties/2135-house-for-sale-at-lokanthali-bhaktapur
3,Kathmandu,Kathmandu Metropolitan city -6,Kumarigal,1026.75,23000000,5,4,West,13,https://epropertynepal.com/properties/2353-house-for-sale-at-kumarigal-kathmandu
2.5,Kathmandu,Kathmandu,Kuleshwor,855.625,29800000,10,4,East,20,https://epropertynepal.com/properties/2246-house-for-sale-at-kuleshwor-kathmandu
3.5,Kathmandu,Kathmandu,Koteshwor,2738,48000000,5,4,East,10,https://epropertynepal.com/properties/1300-house-for-sale-at-koteshwor-kathmandu
3.5,Kathmandu,Kirtipur,Kirtipur,1711.25,25000000,9,5,East,20,https://epropertynepal.com/properties/2183-house-for-sale-at-tyanglaphat-kirtipur-kathamndu
4,Kathmandu,Kathmandu,Kirtipur,1197.875,23500000,10,4,East,13,https://epropertynepal.com/properties/1020-4-storey-house-for-sale-at-kirtipur-kathmandu
3.5,Lalitpur,Lalitpur,Khumaltar,1326.21875,23000000,4,4,North East,26,https://epropertynepal.com/properties/1136-house-for-sale-at-khumaltar-lalitpur
3.5,Lalitpur,Balkumari,Kharibot,1026.75,30000000,6,4,North West,18,https://epropertynepal.com/properties/960-semi-commercial-house-for-sale-at-balkumari-lalitpur
4,Bhaktapur,Bhaktapur,Kausaltar,1882.375,32500000,10,4,North East,26,https://epropertynepal.com/properties/1029-4-storey-house-for-sale-at-balkot-chowk-bhaktapur
3,Kathmandu,Kathmandu,Kapan,1540.125,33000000,6,3,East,13,https://epropertynepal.com/properties/2777-3-storey-house-for-sale-at-kapan-kathmandu
2.5,Kathmandu,Kathmandu,Kapan,855.625,14000000,4,3,North,10,https://epropertynepal.com/properties/2417-2-5-house-for-sale-at-kapan-kathmandu
2.5,Kathmandu,Budhanilkantha,Kapan,855.625,17500000,7,3,South,12,https://epropertynepal.com/properties/2221-house-for-sale-at-kapan-kathmandu
2.5,Kathmandu,Budanilkantha-10,Kapan,1197.875,27500000,5,2,East,10,https://epropertynepal.com/properties/2361-2-5-storey-house-for-sale-at-kapan-kathmandu
