price,Location,Living Room,Used For,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
61000000,Kathmandu > Dhapasi (Tokha),1,,2.5,3,4,Dhapasi bhagwati mandir near,10,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/new-bungalow-for-sale-in-dhapasi-bhagwati-than-in-kathmandu/af65207a40674e9fad180363a646fe3c
10000000,"बूढानीलकण्ठ, Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",3,family personal use,3,3,14,Shanti Niketan Wasik buddhanilkanth,17,4655,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/luxury-house-in-sale-at-budhanilkantha-in-nepal/e5d9c17d55b44f32b9c76cdf7f9d72da
34500000,खड्कागाउँ,1,,3,4,5,,5,2300,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/3faf1b00e3cb4f66ba34e774ce8a0950
35000000,"Bafal, Kathmandu",,,,,,,,,,https://hamrobazaar.com/for-sale-house/home-at-civil-homevi-way-to-ramkot-in-kathmandu/b3d261218c784bcbad33ef908c9d92d5
35500000,"Bhual Dhanda, Tinchuli, Kathmandu",2,3 months,2,5,8,,6,1223,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/ghar-bikrima-build-8months-ago-in-kathmandu/d2b3e7265d0346a9a340a7d0b73399fd
34000000,"Karuna Hospital, Chunikhel Marg, Baluwakhani Chok, Budhanilkantha Municipality, Kathmandu, Bagmati Pradesh, 44622, Nepal",1,Personal use,2.5,2,6,,3.3 aana,1130,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sell-in-kathmandu/9af127e96f094e12a128f26fb14d83be
62500000,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",1,,2.5,7,5,,6 aana,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-hattigauda-in-kathmandu/de342fd56ca144aba6a43347fd1dc782
45000000,"Chyasundol Marg, Dharampur",1,family,3,4,3,golfutar,5,2500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/shanta-colony-bungalow-in-nepal/7b87eb7492ce408e97cd98b9ae632cea
19500000,"Bhaktapur City, Bhaktapur",2,1,3,3,5,Om Santi park Chhaling,8,950,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bhaktapur-in-bhaktapur/0c5d0e932a7f4327bcfa223dbfcf5124
25000000,"Godawari, Lalitpur",1,2 YEARS,1.5,4,2,GODAWARI VILLAGE RESORT,0-5-0-2,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/godawari-village-resort-ko-bungalow-bikrima-in-lalitpur/387eba1c3fb34c929202fd2b6d3e4e7e
50000000,"Budhanilkantha, Kathmandu",,,,,,,,,,https://hamrobazaar.com/for-sale-house/standard-3-storey-building-8-aana-land-on-sale-in-kathmandu/25371a71d97f47a9b610d1c0735ff0dd
130000000,"Milijuli Tol, Chappal Karkhana",2,family,3,5,5,chappalkarkhana,14,3200,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/chappalkarkhana-bungalow-in-nepal/a664e543f47f48929f8843d1978c7208
80000000,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",7,residence,0,8,12,,8,1800,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/2-houses-for-sale-in-nakhudole-bhaisepati-in-lalitpur/4667246faf26473584af80e82435bf0f
59000000,Khadkagaon,2,,3,6,5,Ganesh chauk नजिकै,6,2700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/6-in-nepal/c6f9141eb9e9418c90cc7665edb69701
57500000,Kathmandu > Baluwatar,1,12 years,2.5,5,5,,5,3000,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-baluwatar-in-kathmandu/e741b6da18f243ca99ac476f55bbf06a
12000000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,,2,3,4,,3,2300,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-budhanilkantha-taulung-in-nepal/5884016f34db410b994d7c35a209e2ad
63000000,"Milan Basti Marg, भैसेपाटी, तल्लो गाउँ",1,,3,4,5,,9,3400,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-on-sale-near-mediciti-hospital-in-nepal/bf3f453fda224509b0adba5b5ba4ed02
31000000,"All Core Kathmandu, Kathmandu",,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-in-kapan-in-kathmandu/a70f5c4a1e7e4b708df282b149715749
32500000,Imadol,2,,0,5,6,,330,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-swimming-pool-nayabasti-in-nepal/1573fd6b295542a0a77783c27f13fe99
27500000,"सीतापाखा, इमाडोल",2,,3,5,6,,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-chowk-highway-najeek-in-nepal/8196e60a332d488d835e79712a94828a
45000000,"Dulal Tol, Khadkagaon",2,,3,6,6,,5,1400,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-semi-bangla-in-nepal/1b431f458bad409daa98cced7bb6b45f
15500000,गोकर्णेश्वर,,,,,,,,,,https://hamrobazaar.com/for-sale-house/jorpati-house-sales-in-nepal/e49119103b3c49af9cbd29c1382eb9da
25000000,Kathmandu > Samakhusi,,,2,,,Ranibari,3,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sale-in-kathmandu/9b65fe23a1404a1f89b7f365ca1c5411
31000000,"Shiva Mandir, Gwarko-Lamatar, Borcha, Imadol, Khadkatol, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",2,New,4,6,5,Bhatbhateni near sanagau,106,2788,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/new-home-in-lalitpur/c93d4373cf124cf29896327d7ae1dd0d
72500000,"kapurchowk road, खड्कागाउँ",2,,3,5,4,,9,9,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sell-house-at-dhapasi-ktm-in-nepal/bd424381d33c4864bc0fcfecd9486104
125000000,"Kumari Bank Ltd, Putali Sadak, Kamalpokhari, Bansh Ghari, Kathmandu, Kathmandu Metropolitan City, Kathmandu",0,,5,0,0,,4,0,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/putalisadak-4-aana-ma-baneko-ghar-bikrima-in-kathmandu/cda2c65ae7f64ddc9ff6a2ece34a9bb5
77000000,"Budhanilkantha Municipality, Golphutar Main Sadak, Dharampur, Budhanilkantha, Kathmandu, Bagmati Pradesh, 22644, Nepal",2,,2.5,5,4,,0-6-2-3.066,3500,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/4-bhk-home-for-sale-in-cg-hills-colony-hattigauda-in-kathmandu/9f80b1b015b840338a305c61f7a53a76
39000000,"suchatar, Syuchatar (Kalanki), Kathmandu",1,,2.5,3,4,150m outside ringroad,4 Aana,N/A,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-syuchatar-kathmandu-in-kathmandu/a2799b55d03d4613a6ac119ed7079ead
16500000,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",2,,25,3,6,Santaneswar Lalitpur,7,7,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-santaneswar-lalitpur-in-nepal/2a4b5ead44e849039f4a7db11e50346a
42500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",1,,2.5,6,5,Downtown Housing,3,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semi-furnished-house-for-sale-at-imadol-downtown-in-lalitpur/bb1bcac6c7bd4694bc8e15b61cd55201
29000000,"budanilkantha, Budhanilkantha, Kathmandu",2,,2.5,4,5,,3.1,103.27,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/31-ana-house-for-sale-at-budhanilkantha-in-kathmandu/43fe901fac08405399b8834a2dd9cf82
25000000,Kathmandu > Kapan,3,,3.5,5,6,à¤¦à¥à¤°à¥à¤—à¤¾ à¤®à¤¨à¥à¤¦à¤¿à¤° à¤¨à¤œà¤¿à¤•,3,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-kapan-durga-mandir-in-kathmandu/0b2a92244b9e428cab4830b9fbf68ed7
24000000,"Kathmandu Ringroad, गोङ्गबु",1,,3,3,6,,3,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/gongabu-house-on-sale-in-kathmandu/2cce807166034d0abea8507f483ce34b
45000000,"Gokarna (Gokarneshwar), Kathmandu",1,,2.5,4,7,,8.2.2,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/8-aana-house-on-sale-at-gokarna-kathmandu-in-kathmandu/6795749cb41e42809b8742096db918f7
70000000,"budanilkantha, Narayanthan (Budhanilkantha), Kathmandu",2,,2.5,5,7,,6,2000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bunglow-for-sale-in-kathmandu/9fdbebd19ed44718b9ee357809dc2481
17000000,Mahalaxmisthan >,,,2.5,,7,,2.5,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/ringroad-bata-najikai-170-ma-ghar-bikriima-in-nepal/ce4bb9215e5f4b14b7dd8744ba5c4c68
26500000,"Central Business Park, Thapathali Marg, Thapathali, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44617, Nepal",1,Non,2.75,2,3,,2 Ana 3 paisa,2100,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/new-house-for-sale-in-kathmandu/24593600f4b445e38e9891190d506ba9
66000000,"Hattigauda Chowk, Dharampur, Budhanilkantha, काठमाडौं, Bagmati Pradesh, Nepal",1,,2.5,5,5,,१२,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-bunglo-hatigauda-in-nepal/764d597914d746deaa414db7d5467f21
37500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2,,2.5,5,6,SITAL HEIGHT FAMILY RESORT,5,2000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-sital-height-in-lalitpur/6c5dcc57965d46e394ff2099b0609a95
58000000,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",2,,3.5,3,8,,6,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semi-commercial-house-at-hattigauda-in-kathmandu/fa2931fed957424792326c7af74dd204
30000000,"Pasikot (Budhanilkantha) , budanilkantha",,,2.5,,,,7,,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/7ana-house-for-sale-at-budhanilkantha-pasikot-in-nepal/4094bfadf4d5416299cc6f8e8cb16ff3
48000000,"naya baneshwar, New Baneshwor, Kathmandu",1,,2.5,3,4,,0-5-1-0,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/bunglow-on-sale-new-baneshwor-in-kathmandu/1cf00e6b1692418b80f0b65c8fbaa5a7
67500000,"Hattiban, Lalitpur",1,,2,3,3,,4,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-cityscape-hattiban-in-lalitpur/a18ca6c663494125bf6548b5762d1ac0
37500000,"Imadol (Mahalaxmi), Lalitpur",1,,2.5,5,8,,0-3-3-3,1000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/18230293090849f6a4cc3c76dc333bd7
197500000,"Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",2,family,3,6,6,rudreswor chok,3220,3500,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/massive-bungalow-at-budhanilkantha-in-nepal/96ac9527b273406792005a3ecc7da7e0
72500000,"dungeadda, Dhungeadda (Kalanki), Kathmandu",2,,2.5,6,5,1km From Ringroad,1 Ropani,N/A,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bungalow-house-on-sale-at-dhungeadda-kathmandu-in-kathmandu/4bfc3cfad69049a3a07e72559cf0a89c
27500000,Imadol,2,,3,4,5,,320,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-afal-tole-in-nepal/12890145f7d9469e94f301eec3a52296
70000000,"Shreyai Balsansar, Buddha Marg, Baluwakhani Chok, Golphutar, Budhanilkantha, Kathmandu",Na,,Na,Na,Na,,11,349.69,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/11aana-house-for-sale-at-budhanilkantha-hepali-in-kathmandu/01e5ad17e7ca494cbab1f51e515af4d9
28500000,Lalitpur > Bhaisepati / Sainbu,1,,2.5,3,4,Bhaisepati near nepal sbi bank,3.5,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/bhaisepati-house-on-sale-in-lalitpur/186584d061884c2e9e113625bd9329bb
65000000,"Bodhigram (Satdobato), Lalitpur",4,4 months,4.5,9,12,Lalitpur swimming pool side,10,6400sqr.ft,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/0b2e30a285584cbda322e7ddf13b5fde
23500000,Lalitpur > Hattiban,,,3.5,7,10,,4.5,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/3-stored-house-in-lalitpur/ffd22324aa1648e3903d2fa13a74fc54
15500000,"Lamatar (Mahalaxmi), Lalitpur",1,,1,1,1,,0-3-0-0,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-lamatar-bhatbhateni-in-lalitpur/f3f72a95441f4fe4b89a40645949a1ec
