price,Location,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
"रू. 2,49,00,000","Balkhu, Kathmandu",2.5,3,3,2 Aana 3 Paisa 1.42 Daam,1391,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-balkhu-kathmandu-in-kathmandu/c849a425966e45da89a27d8e0150c1c5,Inside Ring road
"रू. 7,20,00,000","chabil cabahil, Chabahil, Kathmandu",4,4,11,8aana,0,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chabahil-mitrapark-in-kathmandu/6560fdcc9eb04e879afc5d39d4795c4c,
"रू. 8,00,00,000","Budhanilkantha Education Services (बुढानिलकण्ठ एजुकेसन सर्भिसेस ), Kathmandu, Nepal",3,6,6,16.5 aana,,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sell-house-in-kathmandu/6422394592ae4088bc36acc697142825,
"रू. 2,60,00,000",Imadol (Mahalaxmi) >,3,3,5,3 Aana 1 Paisa,2345,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-bojepokhari-imadol-in-nepal/1ac5194654c44b129e5f3ef328eee51c,Boje Pokhari
"रू. 9,00,00,000","Bafal, Kathmandu",3,4,6,8 Aana,N/A,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-bafal-kathmandu-in-kathmandu/00c4786951c546eaa05acc1aaca8cbc3,Near Hyatt Place
"रू. 2,80,00,000","Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",3,4,3,4,2500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-lalitpur-in-lalitpur/346cc592b2e44da8a23390b25bad85e9,
"रू. 2,50,00,000","Sinamangal, Kathmandu",2.5,4,10,0-2-2-0,800,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-sinamangal-in-kathmandu/cbde50a36ad0494baecacaed4b52cf8c,
"रू. 3,10,00,000","Kathmandu City, Kathmandu",5,5,You Can Chose yourself 17 Rooms in total,4 Anna,4 anna,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-nepaltar-balaju-in-kathmandu/08d3dcbb9bef4c78b1de92f0dc840fe3,
"रू. 2,40,00,000","Imadol (Mahalaxmi), Lalitpur",2.5,3,4,3.5 Aana,N/A,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-imadol-lalitpur-in-lalitpur/5d42317529b24eb8b8739cc5ad0d7a83,Near Lulu Home
"रू. 2,00,00,000","Budhanilkantha, Budhanilkantha Municipality, Kathmandu",3,3,5,4,119,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/33-ana-house-for-sale-at-budhanilkantha-pasikot-in-kathmandu/a5ab463fe65f4d8cb53b9855fe281737,
"रू. 3,00,00,000","chandagiri, Chandragiri, Kathmandu",3.5,6,10,4aana2paisa2dam,4700,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chandragiri-in-kathmandu/73e4982169394739b3bc4a2353227ab4,
"रू. 2,20,00,000","Gwarko Koteshwor Imadol, Balkumari Area, Lalitpur",3,4,6,2.75,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/0e25d4e455144f1f8efc9f3f06cecb0f,imadol
"रू. 4,98,00,000","पन्ना हिटी, चाबहिल",0,5,11,6,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-sale-at-siphal-in-nepal/1e5371e2bab64ec0bd66f1d196e72adb,
"रू. 1,60,00,000","Tikathali, महालक्ष्मी, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",1,1,1,3,700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/tika-thali-beautiful-house-on-sale-in-nepal/b815b5abc2e3412591d74f42be4dd49e,tikathali
"रू. 95,00,000","Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",1,1,2,1,1020,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/62cb578b8c8c490686f8d0852728028d,Bishankhu narayan temple
"रू. 2,85,00,000","आलोक नगर, Subidhanagar, काठमाडौं, Kathmandu, काठमाडौं, Bagmati Pradesh, नेपाल",3,3,5,3,3000,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-aloknagar-baneshwor-in-kathmandu/0d35755cefd7464a981761b2ab9abc2c,
"रू. 5,00,00,000","Gusingal (Sanepa), Lalitpur",4,4,1,0-4-1-0,1500,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-gusingal-sanepa-in-lalitpur/c70ae15275df43f9b8db2440fc7b93f2,
"रू. 2,55,00,000",Imadol,3,4,4,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-swimming-pool-nayabasti-in-nepal/570089144dac4362a20b1cda09872849,
"रू. 3,55,00,000","Camad College, Sir Raj Bahadur Road, Ananda Nagar, Sukedhara, Kathmandu, Bagmati Pradesh, 44606, Nepal",2.5,2,3,4,1600,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-at-sale-in-sukedhara-in-kathmandu/eeb9d9b54a4d4f5b9a7f2de1c8d3b33e,
"रू. 1,30,00,000","Damak, Jhapa",3,3,6,7 dhur,2520,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-on-beautiful-location-damak-in-jhapa/7c22af32e7f34c778a09a5de923c84fc,"Phalgunanda Chowk, Damak"
