price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
215000000,गोल्फुटार,3,8,6,,27,2700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/aanako-bangla-house-for-sale-mandikhatar-in-nepal/1761058dfdf44ad49c1f1840bdfe13c8
39500000,"Baluwakhani Chok, Golphutar",3,5,6,,4,4,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sell-house-in-nepal/717d8f9f8af242e4895dcc7c7a6cb5a4
28500000,"bhaisipati, Bhaisepati / Sainbu, Lalitpur",2.5,3,4,,3.5,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-bhaisepati-in-lalitpur/5a2130289bc647eaa0a1214eba6d2b39
35000000,"Narayan Gopal Chowk, Basundhara",3,3,5,,4,1369,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/basundhara-house-for-sale-in-nepal/5f4be8abd8124853b6c8c64045c837e2
45000000,Kathmandu > Mulpani (Kageshwor),2.5,à¥©,4,Kathmandu,5,,Above 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-mulpani-greenhill-city-housing-in-kathmandu/1ab1406eb1bd41c996881f47874ab1f7
27000000,"Balkot, Anantalingeshwar, सूर्यविनायक नगरपालिका, भक्तपुर, Bagmati Pradesh, नेपाल",3,2,4,,4,810,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-design-house-on-sell-in-nepal/359d5cf26e3740749c352f1817a44bae
35000000,"Hitaisi Marg, Kirtan Chok, Baluwatar",2,2,3,,3,2100,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/32-aana-new-house-at-baluwatar-chandol-in-nepal/e3c7a627090344e9a3880a2668484e97
24000000,"Tikathali (Mahalaxmi), Lalitpur",3,3,5,,4,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/sale-for-house-sasto-ma-in-lalitpur/153f8afabb414dbdaf4e69891fca73d9
23500000,Imadol,0,4,4,,0,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-kamalpokhari-highway-najeek-in-nepal/c9c45bc4d29246dfb655454daa7fb9ba
35000000,"27DR030, Gokarneshwar, Kathmandu, Bagmati Pradesh, 89977, Nepal",2.5,4,5,"Gokarna temple, near hanuman chock",7.5,2950,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sales-in-gokarna-kathmandu-in-kathmandu/3dee3c5ba4ca4001b9fef7e1d810fb69
22500000,"Changathali (Mahalaxmi), Lalitpur",2.5,3,6,,3.5aana,1168.2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-changathali-lalitpur-in-lalitpur/f51776a552f143a48af378125fe7e9a2
175500000,"Bhaisepati , Lalitpur, Karyabinayak, Nepal",,,,,,,,https://hamrobazaar.com/for-sale-house/house-on-sale-bhaisepati-lalitpur-in-lalitpur/051f3c07976741af8f7a2177e7ef0b46
37500000,"Pepsicola (Kadaghari), Kathmandu",2.5,4,5,,4 aana,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/5bhkd-house-on-sale-at-pepsicola-kathmandu-in-kathmandu/239901001f3540c6827c8072f0961497
5.1E+15,"Ekantakuna, Lalitpur",2.5,2,3,"Yatayat Office, Ekantakuna",0-6-0-0,2000+,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-ekantakuna-kathmandu-in-lalitpur/e2de423d25544f56ade7d61a7499e2c3
52500000,"महानकल रोड, मकलबारी, गोकर्णेश्वर",3,5,13,,5,3500,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-sale-in-makelbari-baudhha-in-nepal/60856d4e23ac4c038afb2ffe6b7fce8c
23500000,"Sitapakha, Imadol, Mahalaxmi, Nepal",2.5,4,4,,2A 3P 3D,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/flat-sys-house-for-sale-at-seti-pakha-imadol-in-nepal/da42fef6df854a978b97d5a5e5d4b39a
21000000,"Achham (Other Area), Achham",,,,,,,,https://hamrobazaar.com/for-sale-house/urgent-sale-in-nepal/208e4205074c43d5b6c954d2db56e5ec
180000000,"Rudramati Chowk, Mandikhatar",12,4,6,Mandikhatar Hight,28,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/28-aana-land-with-bonglow-for-sale-at-mandikhatar-in-nepal/08d6d2edafee488188fe1089ca930c3d
50000000,"Sainbu, Lalitpur, Bagmati Pradesh, 13775, Nepal",3,4,4,opposite radio nepal tower,0-4-0-2,2100,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/4cb338213edc42358c7a7d2b00ec32cc
22500000,Imadol,3,4,5,,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-changathali-tikathali-in-nepal/6478dcc615494dfc9458945deaa12916
30000000,"Gothatar (Kageshwor), Kathmandu",3.5,0,6,,3ana 2paisa 2damm,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-gothatar-in-kathmandu/34e07eca2b4c4c3d966b31e053584b19
40000000,"Satdobato, Lalitpur",3,3,5,,.,1550,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-satdobato-in-lalitpur/30ff68226bf044bc8969bf92d556d600
19000000,"आनन्द चोक,",3,4,7,,4,2500,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/35-anna-ma-baneko-argent-bikri-ma-at-kalanki-in-nepal/3e7d1e6367c94a4da60a7e5132ec2aaa
31500000,ranibari Samakhusi,3,3,4,,3,1486,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-ranibari-in-nepal/187c8cfff5604db38c71677e17158f43
29000000,"Tikathali (Mahalaxmi) ,",,,,,4aana,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/modern-house-on-sale-at-tikathali-lalitpur-in-nepal/6ee72804131847899286c35b56d5828b
67500000,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",2,2,4,,6,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-ganesh-chowk-in-kathmandu/180c66798e804ddb99dc234d6ed007f1
55000000,"Sitapaila (Nagarjun), Kathmandu",2.5,3,5,Sitapaila,9.5,.,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-sitapaila-in-kathmandu/485efb85ceed4e9190fca76afaf52097
235000000,"New Road, Makkhan Tol, Yetkha",6,6,6,,3,5000,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/new-road-comercial-house-in-nepal/d574c60a88ea453e9dd2e37849b0d853
35000000,"kritipur chovar, Chobhar (Kirtipur), Kathmandu",2.5,4,5,,6.096,2084,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/61-anaa-land-house-for-sale-in-chovar-kathmandu-in-kathmandu/18783d907b354e2da2d329288c59ee55
49000000,Kathmandu > Budhanilkantha,2.5,5,6,Near comfort housing,5,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/brand-new-flat-system-house-sale-budhanilkantha-in-kathmandu/911983f1452a4bc2b86799fa0bae7da8
26000000,"All Core Lalitpur, Lalitpur",3,3,8,"500 METER FROM IJ PIONEER SCHOOL, LALITPUR",3.3,2000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/emergency-in-lalitpur/f46ccbf851924e5c9a7e00a03d124168
24000000,"Tikathali, Changathali, Mahalaxmi, ललितपुर, Bagmati Pradesh, नेपाल",3,3,3,imadol tikathali,3300,3200,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-saleproperty-code-tt-pu20698-in-nepal/48603778c4094bfeb029b92945a941d5
9500000,"Manbhawan (Kumaripati), Lalitpur",2.5,4,5,,1 ropani,2200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-atkumaripati-manbhawan-lalitpur-in-lalitpur/c3daf93a0b0c412f9699e8876135cae1
