price,Location,Floor,Land Mark,Land Size (Aana/Dhur),Road Size,Bathroom,Bedroom,url
35000000,"Imadol (Mahalaxmi), Lalitpur",3,,1369,20.00,4,8.00,https://hamrobazaar.com/for-sale-house/house-near-tinkune-for-sale-in-nepal/b3f74f7f838b4c199bad26a9b9b31072
12500000,"Tusal Marg, Tusal, Baudha",35,Bouddha jorpati,1369,13.00,3,5.00,https://hamrobazaar.com/for-sale-house/imadol-cozy-homes-highway-najeek-in-nepal/bb3f87161f1b4477a142ba2d228ebf20
250000000,"Puja Pratisthan Marg, Pushpa Nagar, Baneshwar, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 00446, Nepal",1st House (3 Floors); 2nd House (2 Floors),Apex College,1400,20.00,2,3.00,https://hamrobazaar.com/for-sale-house/511-aana-area-of-house-on-sale-in-kathmandu/c37f2f1d3b6f4db8b5b71d023709055f
35000000,"Bafal Marg, Lalitpur",2.5,,1540.125,13.00,4,11.00,https://hamrobazaar.com/for-sale-house/cheapest-house-on-sale-at-bouddha-jorpati-ktm-in-nepal/a1b7c88ae2844ebaa450448992c9d9f3
39500000,"Rudramati Chowk, Mandikhatar, Budhanilkantha Municipality, Kathmandu",3,Hama hoapital,1711.25,13.00,3,7.00,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-satungal-kathmandu-in-kathmandu/d1dcfafcf4b34961aa6f550a61bd01ec
37500000,"Budhanilkantha, Kathmandu",3,,1711.25,13.00,3,5.00,https://hamrobazaar.com/for-sale-house/house-for-sale-semi-bungla-hatigauda-in-kathmandu/0d1a06f77ac640a381c2cbf378c63243
37500000,"Ekantakuna, Lalitpur",2.5,,1711.25,12.00,3,6.00,https://hamrobazaar.com/for-sale-house/house-on-sale-at-ekantakuna-in-lalitpur/5de9220ecdf84f3da45520959f7d0e52
40000000,"Bauddha, Kathmandu, Nepal",3.5,,1711.25,20.00,1,3.00,https://hamrobazaar.com/for-sale-house/house-for-sale-at-changathali-lalitpur-in-lalitpur/a90cc3db17fb4a298f707c15ce8f9473
52000000,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",3,,1882.375,13.00,,,https://hamrobazaar.com/for-sale-house/attractive-house-on-sale-in-bouddha-jorpati-ktm-in-kathmandu/3e15355a86084ac9aeb9db4a657c39d8
35000000,"Makalbari (Jorpati), Kathmandu",1,,2053.5,13.00,4,4.00,https://hamrobazaar.com/for-sale-house/imadol-kamalpokhari-highway-najeek-in-nepal/9a1fd33bf5ec4f7cae63714ec5a2840b
