price,Location,Living Room,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
49999999,"Ramkot (Nagarjun), Kathmandu",2,4.5,5,3,0-6-1-3.48,2900,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/luxury-bungalow-for-sale-brihat-community-living-in-kathmandu/65673a32d5ab4041aab2fd250e77e82e,Padma Fuel Centre
16000000,"Sitapaila (Nagarjun) ,",1,2.5,3,5,2.5,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-in-sale-in-nepal/74e832a343304db4afd210df7bebbe16,
47500000,"Montessori Children Kingdom, साचल मार्ग, Sanepa, Patan, Lalitpur Metropolitan City, Lalitpur",2,2,4,5,5,2700,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/5923e427d93e4b7997d6c4b0d2c6ee5a,
42500000,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",2,2.3,6,6,5.1,5.1 Aana,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/semi-furnish-bungalow-on-sale-at-hepali-height-in-kathmandu/ac404c4116bd408bb3f6f0df5b38672f,
120000000,Kupondole,2,3,5,6,14,2500,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/32b4e8aecd1140358b47a34ad3791126,Hotel Himalaya
27500000,"Imadol-Hattiban Road, इमाडोल",2,3,5,6,4,2654,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/6046ff71d9d844c19fd1899ff934dd1c,
40000000,Kathmandu > Pasikot (Budhanilkantha),2,2.5,3,7,,2600,9 to 12 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/8abd1b37167e464da4dbe9d7a6a2a420,
23000000,"Bhuddha Marg,",2,3,4,6,3,1280,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/ghar-bikri-ma-sangau-in-nepal/4566d33c987940e2b6060ce1741b6ea3,
19000000,Chitwan (Bharatpur) > BP Koirala Cancer Hospital,2,2.5,5,7,10.7,995,13 to 20 feet,https://hamrobazaar.com/for-sale-house/25-story-residential-for-sale-in-chitwan/f1fbfefcba2449c6953f8b5c87fa650a,"Buddha Chowk, Cancer Hospital Road"
35000000,"Lalitpur City, Lalitpur",1,2.5,5,5,4.5,2800,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/bungalow-house-for-sale-in-lalitpur/0921b3a52a3e4fc6b704aa7dd68766f9,
27500000,Imadol,2,0,4,5,320,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-new-millennium-school-in-nepal/7d74ccc9b2d04382b51bd84fdc83da49,
49000000,"Mitranagar (Gongabu), Kathmandu",1,4.5,17,18,4.5,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-mitranagar-new-buspark-in-kathmandu/7123469f38f14b25b3b83a87a201ec67,
