title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
House for sale at Golfutar | 9851184666,Kathmandu,Budhanilkantha,Golfutar,4 Anna,16 Ft,"3,25,00,000",5,4,2073,Car 1,East,https://www.gharghaderi.com/house/2155-House-for-sale-at-Golfutar/
New House for Sale...... | 9841401143 sold,Lalitpur,Mahalaxmi,Imadol,3aana,13 Ft,"1,85,00,000",4,3,2076,Car 1,South,https://www.gharghaderi.com/house/2149-New-House-for-Sale....../
Tikathali ko Ghar bikrima | 9801030435,Lalitpur,Mahalaxmi,Tikathali,3.5 Ana,12 Ft,"2,30,00,000",6,4,2076,Car 1,South east,https://www.gharghaderi.com/house/2146-Tikathali-ko-Ghar-bikrima/
Brand new house for sale in Lalitpur Harisiddhi (Above Cancer Hospital ). Banking facility available. | 9841942030,Lalitpur,Harisiddhi,Hattiban,1197.87,13,"2,35,00,000",5,3,2076,Car 1,South,https://www.gharghaderi.com/house/2144-Brand-new-house-for-sale-in-Lalitpur-Harisiddhi-(Above-Cancer-Hospital-).-Banking-facility-available./
Affordable House In Namuna basti Chandragiri | 988603798,Kathmandu,Chandragiri,Balagau,5aana,+12ft,"1,75,00,000",4,2,2075,Car 1,East,https://www.gharghaderi.com/house/2140-Affordable-House-In-Namuna-basti-Chandragiri/
"House for Sale in Bashundhara, Kathmandu | 9841918568",Kathmandu,Kathmandu,Basundhara,5.5 Aana,13 Ft,"3,50,00,000",2,1,2071,Car 1,East,https://www.gharghaderi.com/house/2136-House-for-Sale-in-Bashundhara-Kathmandu/
Ek Kathha Jamin Ra Aakrshak Ghar Huprachaur Sheetalmahal Chowk Mai | 9855012370,Makwanpur,Hetauda,Hupra Chaur,1500 Sqft,20 Ft,"6,00,00,000",8,4,2076,Car 2,East,https://www.gharghaderi.com/house/2133-Ek-Kathha-Jamin-Ra-Aakrshak-Ghar-Huprachaur-Sheetalmahal-Chowk-Mai/
"Main Area: Near Singhadurbar, Anamnagar House 11.5 Anna For Sale | 9823166777",Kathmandu,Kathmandu,Anamnagar,11.5 Anna,13 Ft,"9,55,00,000",7,4,2067,Car 3+,East,https://www.gharghaderi.com/house/2131-Main-Area:-Near-Singhadurbar-Anamnagar-House-11.5-Anna-For-Sale/
House For Sale | 9841401143,Lalitpur,Mahalaxmi 4,"Imadol, Highwau Near 50 meter",3Aana 2Dam,13 Ft,"2,50,00,000",4,3,2076,Car 1,South east,https://www.gharghaderi.com/house/2127-House-For-Sale/
House For Sale | 9841401143,Lalitpur,Mahalaxmi,Imadol,0-3-0-1,13 Ft,"2,40,00,000",4,3,2076,Car 1,East,https://www.gharghaderi.com/house/2126-House-For-Sale/
"New House Imadol, lalitpur | 9841401143",Lalitpur,Mahalaxmi,Imadol,3 Aana,13 Ft,"1,90,00,000",4,3,2076,Car 1,South,https://www.gharghaderi.com/house/2124-New-House-Imadol-lalitpur/
House On Sale Thulo Bharyang Swoyambhu Near by YatYat Office | 9841831732,Kathmandu,Kathmandu,Swoyambhu,7 Aana,,"3,00,00,000",1,1,2068,Motorbike,East,https://www.gharghaderi.com/house/2120-House-On-Sale-Thulo-Bharyang-Swoyambhu-Near-by-YatYat-Office/
"New house for sale in Bharatpur -11,Chitwan | 9845211799",Chitwan,BMC,Bharatpur,1000 Sqft,6M,"15,50,000",4,2,2074,Car 1,East,https://www.gharghaderi.com/house/2119-New-house-for-sale-in-Bharatpur--11-Chitwan/
Beautiful House in beautiful Jharuwarashi | 9803267612,Lalitpur,Godawari,Jharuwarashi,4 Aana 3 Paisa 1 Daam,12 Ft,"1,30,00,000",3,2,2068,Car 3+,West,https://www.gharghaderi.com/house/2116-Beautiful-House-in-beautiful-Jharuwarashi/
New House on Sale - Tikathali | 9864260884 sold,Lalitpur,Mahalaxmi,Imadol,3 Ana 1 Paisa,16 Ft,"2,20,00,000",4,4,2076,Car 1,North east,https://www.gharghaderi.com/house/2115-New-House-on-Sale---Tikathali/
New House on Sale - Tikathali | 9864260884 sold,Lalitpur,Mahalaxmi,Tikathali,3 Ana 1.5 Dam,13 Ft,"2,25,00,000",4,4,2076,Car 1,South,https://www.gharghaderi.com/house/2114-New-House-on-Sale---Tikathali/
New house for sale in lamjung besisahar | 9849423613,Lamjung besisahar,Besisahar,Bhakumde,6 Anna,,"1,80,00,000",6,5+,2073,Car 1,West,https://www.gharghaderi.com/house/2107-New-house-for-sale-in-lamjung-besisahar/
House neart checkpost only 100m from main road withnCheap price | 9843620642,Kathmandu,Chandragiri,Checkpost,5,,"1,70,00,000",7,2,2067,Car 1,East,https://www.gharghaderi.com/house/2100-House-neart-checkpost-only-100m-from-main-road-withnCheap-price/
Brand New House On Sale | 9823021777,Lalitpur,Lalitpur,Bhaisepati,5 Anna,13 Ft,"4,40,00,000",1,1,2076,Motorbike,South east,https://www.gharghaderi.com/house/2098-Brand-New-House-On-Sale/
"Brand new house for sale in Lalitpur Nakhipot, Kantipur Colony. Banking facility available. | 9841942030",Lalitpur,Lalitpur,"Nakhipot, Kantipur Colony",4 Aana,22ft,"2,85,00,000",8,5+,2076,Car 1,South,https://www.gharghaderi.com/house/2093-Brand-new-house-for-sale-in-Lalitpur-Nakhipot-Kantipur-Colony.-Banking-facility-available./
Three storeyed House in Chitwan | 9845655334,Chitwan,Bharatpur,Bhozad area,1 Kattha,,"2,60,00,000",8,5+,2068,Motorbike,East,https://www.gharghaderi.com/house/2089-Three-storeyed-House-in-Chitwan/
Beautiful house on Rent at Tinkune | 9861828129 sold,Kathmandu,Kathmandu,Tinkune,10 Aana,16 Ft,"1,50,000",5,2,2076,Motorbike,East,https://www.gharghaderi.com/house/2088-Beautiful-house-on-Rent-at-Tinkune/
New house for sale in hattibun | 9868699025,Lalitpur,Mahalaxmi,Hattiban,700 Sqft,20 Ft,"2,50,00,000",6,3,2076,Car 2,North east,https://www.gharghaderi.com/house/2068-New-house-for-sale-in-hattibun/
Beautiful House is on sale at Budanilkantha Height | 9861828129 sold,Kathmandu,Budhanilkantha,Budhanilkantha,7.2 Aana,16 Ft,"6,80,00,000",6,5+,2076,Car 1,South east,https://www.gharghaderi.com/house/2065-Beautiful-House-is-on-sale-at-Budanilkantha-Height/
Beautiful house for rent at Lazimpat | 9861828129 sold,Kathmandu,Kathmandu,Lazimpat,4aana,,"1,40,000",3,4,2076,Motorbike,East,https://www.gharghaderi.com/house/2051-Beautiful-house-for-rent-at-Lazimpat/
Duplex system house on sale at bhaisepati | 9861828129 sold,Lalitpur,Lalitpur,Bhaisepati,5 Aana,16 Ft,"3,70,00,000",4,4,2076,Motorbike,East,https://www.gharghaderi.com/house/2049-Duplex-system-house-on-sale-at-bhaisepati/
3 unit house build in 34 Aana land is on sale at Maitidevi | 9861828129 sold,Kathmandu,Kathmandu,Maitidevi,34 Aana,,"39,10,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2042-3-unit-house-build-in-34-Aana-land-is-on-sale-at-Maitidevi/
House on sale at Baneshwor | 9861828129 sold,Kathmandu,Kathmandu,Baneshwor,7.2Aana,20 Ft,"6,35,00,000",8,4,2076,Motorbike,North east,https://www.gharghaderi.com/house/2039-House-on-sale-at-Baneshwor/
Bungalow on sale at koteshwor | 9861828129 sold,Kathmandu,Kathmandu,Koteshwor,9.2 Aana,16 Ft,"6,50,00,000",6,3,2076,Motorbike,South east,https://www.gharghaderi.com/house/2038-Bungalow-on-sale-at-koteshwor/
House on sale at khumaltar | 9861828129,Lalitpur,Lalitpur,Khumaltar,4.2 Aana,16 Ft,"3,90,00,000",4,4,2076,Car 1,East,https://www.gharghaderi.com/house/2033-House-on-sale-at-khumaltar/
Bungalow for rent | 9861828129,Kathmandu,Kathmandu,"Thamel,paknajole",14,,"2,00,000",5,4,2076,Car 3+,East,https://www.gharghaderi.com/house/2030-Bungalow-for-rent/
House for rent | 9861828129 sold,Lalitpur,Lalitpur,Manbhawan,12Aana,16 Ft,"1,40,000",8,3,2076,Car 3+,East,https://www.gharghaderi.com/house/2029-House-for-rent/
"House for sale in Padma Colony, Sitapaila | 9841643265",Kathmandu,Nagarjun,Sitapaila,1200 Sqft,8 Ft,"1,60,00,000",3,2,2074,Car 1,North,https://www.gharghaderi.com/house/2016-House-for-sale-in-Padma-Colony-Sitapaila/
"Affordable House for sale in High Vision Colony Chandragiri, Kathmandu | 9742927192",Kathmandu,Chandragiri,Thankot,1000 Sqft,6 Ft,"1,45,00,000",5,3,2072,Motorbike,North west,https://www.gharghaderi.com/house/2010-Affordable-House-for-sale-in-High-Vision-Colony-Chandragiri-Kathmandu/
"Budhanilkantha 13, Kathmandu. | 9810114432",Kathmandu,Budhanilkantha,Budhanilkantha,4 Aana,20 Ft,"2,40,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2007-Budhanilkantha-13-Kathmandu./
"House for Sale, Ekatabasti, Balwakhani, Budanilkantha | 9842641116",Kathmandu,Budhanilkantha,Balwakhani,1440,12 Ft,"2,70,00,000",3,3,2067,Car 2,East,https://www.gharghaderi.com/house/1988-House-for-Sale-Ekatabasti-Balwakhani-Budanilkantha/
"House for sale in Itahari-9, Sunsari | +977-98435",Sunsari,Itahari,Itahari,15 Dhur,16 Ft,"3,50,00,000",6,4,2076,Motorbike,North,https://www.gharghaderi.com/house/1987-House-for-sale-in-Itahari-9-Sunsari/
House for Rent at bishalnagar | 9861828129 sold,Kathmandu,Kathmandu,Bishalnagar,9 Aana,,"1,35,000",4,3,2076,Motorbike,East,https://www.gharghaderi.com/house/1984-House-for-Rent-at-bishalnagar/
House for sale in Chabahil | 9844416666,Kathmandu,Kathmandu,Chabahil,4 Ana,6 Ft,"2,00,00,000",6,2,2067,Motorbike,East,https://www.gharghaderi.com/house/1982-House-for-sale-in-Chabahil/
New One Storey House on Sale @ Tikathali !! | 9864260884 sold,Lalitpur,Mahalaxmi,Tikathali,2 Ana 3 Paisa 2 Dam,13 Ft,"1,30,00,000",2,1,2076,Car 1,South,https://www.gharghaderi.com/house/1974-New-One-Storey-House-on-Sale-@-Tikathali-!!/
House for sale/Rent Bhaisepati | 9861828129,Lalitpur,Lalitpur,Bhaisepati,6.2 Aana,20 Ft,"6,95,00,000",6,3,2076,Car 1,South east,https://www.gharghaderi.com/house/1963-House-for-sale/Rent-Bhaisepati/
House on Rent at Bishalnagar | 9861828129 sold,Kathmandu,Kathmandu,Bishalnagar,10 Aana 2 Paisa,13 Ft,"1,75,000",6,4,2076,Car 3+,South,https://www.gharghaderi.com/house/1962-House-on-Rent-at-Bishalnagar/
House for sale | 9861828129 sold,Kathmandu,Budhanilkantha,Budhanilkantha,3.5 Aana,16 Ft,"2,30,00,000",4,3,2076,Motorbike,East,https://www.gharghaderi.com/house/1960-House-for-sale/
2 Bedroom Good House for Sale in Budhanilkantha Kathmandu | 9807025111,Kathmandu,Budhanilkantha,Chunikhel,3.1,13 Ft,"1,60,00,000",2,1,2076,Car 1,North,https://www.gharghaderi.com/house/1957-2-Bedroom-Good-House-for-Sale-in-Budhanilkantha-Kathmandu/
House Sale Kirtipur | 9851217207,Kathmandu,Kirtipur,Hanumanghat,1863 Sqft,12 Ft,"4,00,00,000",1,4,2067,Car 1,South,https://www.gharghaderi.com/house/1954-House-Sale-Kirtipur/
"house for sale in sanobharang,kathmandu | 9861587706",Kathmandu,Nagarjun,pabitra basti sanobharang,900 Sqft,10 Ft,"2,50,00,000",5,3,2076,Car 1,East,https://www.gharghaderi.com/house/1953-house-for-sale-in-sanobharang-kathmandu/
house sale | 9851099249,Bhaktapur,Suryabinayak,near from rose village,900 Sqft,6 Ft,"1,50,00,000",6,4,2072,Motorbike,North east,https://www.gharghaderi.com/house/1952-house-sale/
"Urgent House on Sale at Taukhel, Godawari, Lalitpur | 9851073684",Lalitpur,lalitpur,"Taukhel, Godawari, Lalitpur",4,,"3,50,00,000",5,4,2074,Car 1,West,https://www.gharghaderi.com/house/1950-Urgent-House-on-Sale-at-Taukhel-Godawari-Lalitpur/
"House for Sale at Chyasal, Lalitpur | 9808309376",Lalitpur,Lalitpur,Balkumari,3 Aana,13 Ft,"2,25,00,000",7,1,2068,Car 1,West,https://www.gharghaderi.com/house/1947-House-for-Sale-at-Chyasal-Lalitpur/
"House sale at jhochee, basantapur | 9860605506",Kathmandu,Kathmandu,Jhoor,1 Anna 1 Paisa,,"85,00,000",1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/1945-House-sale-at-jhochee-basantapur/
House on sale at Hattiban | 9741810433,Lalitpur,Lalitpur,Hattiban,3 Aana,20 Ft,"1,60,00,000",1,1,2070,Motorbike,East,https://www.gharghaderi.com/house/1943-House-on-sale-at-Hattiban/
"House For Sale At Panipokhari Heights, Panipokhari, Lazimpat, Kathmandu | 985-102740",Kathmandu,Kathmandu,Panipokhari,4anna 3.77 Dam,,"7,00,00,000",4,1,2076,Motorbike,East,https://www.gharghaderi.com/house/1938-House-For-Sale-At-Panipokhari-Heights-Panipokhari-Lazimpat-Kathmandu/
Cozy Family House At Balaju Height | 9840250257,Kathmandu,Kathmandu,Balaju,4.5 Aana,13ft,"2,60,00,000",4,3,2070,Car 1,East,https://www.gharghaderi.com/house/1936-Cozy-Family-House-At-Balaju-Height/
Lockdown Offer House For Sale at Cheap Rate | 9851177007,Kathmandu,Tokha,Baniyatar,4.5 Anna,20 Ft,"3,50,00,000",8,5+,2076,Motorbike,East,https://www.gharghaderi.com/house/1931-Lockdown-Offer-House-For-Sale-at-Cheap-Rate/
"House for sale in GaganGauda, Pokhara 32 | 9846091311",Kaski,Pokhara,10 aana,10 Aana,,"2,35,00,000",6,2,2067,Car 2,West,https://www.gharghaderi.com/house/1930-House-for-sale-in-GaganGauda-Pokhara-32/
House on Rent | 9869302993,Bhaktapur,Madhyapur Thimi,Residental,4 Aana,13 Ft,"45,000",4,1,2076,Car 2,East,https://www.gharghaderi.com/house/1929-House-on-Rent/
Whole House on Rent | 9869302993,Bhaktapur,bhaktapur,Residental,1100 Sqft,13 Ft,"85,000",3,5+,2076,Motorbike,East,https://www.gharghaderi.com/house/1928-Whole-House-on-Rent/
"House For Sale In Boudha, Mahankal | 9851022411",Kathmandu,Kathmandu,"Mahankal, Boudha",6.5 Anna,,"4,50,00,000",5,2,2076,Car 1,East,https://www.gharghaderi.com/house/1927-House-For-Sale-In-Boudha-Mahankal/
2.5 story well built in most papular colony in sainbu bhaisapati | 9869300863,Bhaisapati kathmandu,Karyavinayak,Bhaisapati,3.5 Aana,,"3,50,00,000",4,4,2067,Car 1,East,https://www.gharghaderi.com/house/1926-2.5-story-well-built-in-most-papular-colony-in-sainbu-bhaisapati/
"House for sale tahachal-13, kathmandu | 9841747236",Kathmandu,Kathmandu,Tahachal,4.5 Anna,10 Ft,"3,95,00,000",1,1,2067,Motorbike,East,https://www.gharghaderi.com/house/1920-House-for-sale-tahachal-13-kathmandu/
New House on Sale @ Lalitpur Changathali !! | 9864260884 sold,Lalitpur,Mahalaxmi,Changathali,3 Ana,13 Ft,"1,80,00,000",4,3,2076,Car 1,North west,https://www.gharghaderi.com/house/1917-New-House-on-Sale-@-Lalitpur-Changathali-!!/
"House on rent-Tahachal, Near Holy Vision School | 9803730565",Kathmandu,Kathmandu,Tahachal,5476 Sq Ft,18 Ft,"1,75,000",8,5+,2068,Car 3+,East,https://www.gharghaderi.com/house/1913-House-on-rent-Tahachal-Near-Holy-Vision-School/
Brand New house on sale at Gokarna Jorpati | 9841619820,Kathmandu,Gokarneshwor,Gokarna,0-5-1-1,44 Ft,"2,50,00,000",8,3,2076,Car 2,East,https://www.gharghaderi.com/house/1912-Brand-New-house-on-sale-at-Gokarna-Jorpati/
Bansbari Bungalow on rent | 9851052305,Kathmandu,Kathmandu,Bansbari,2+ Ropani,,"2,50,000",1,3,2067,Car 3+,South,https://www.gharghaderi.com/house/1910-Bansbari-Bungalow-on-rent/
"Full House on Rent at Manbhawan, Lalitpur | 9803994373",Lalitpur,Mahalaxmi,manbhawan,20,13 Ft,"1,20,000",7,4,2074,Car 3+,North east,https://www.gharghaderi.com/house/1904-Full-House-on-Rent-at-Manbhawan-Lalitpur/
"bungalow sale in chandol,baluwatar near to the Tudal Devi temple | 9851207525",Kathmandu,Kathmandu,kathmandu ward 4 office,4.2 Ana,12 Ft,"3,30,00,000",3,4,2076,Car 2,North,https://www.gharghaderi.com/house/1902-bungalow-sale-in-chandol-baluwatar-near-to-the-Tudal-Devi-temple/
5 bedroom duplex house in Bhaisepati | 9841217428,Lalitpur,Lalitpur,Bhaisepati,10 Anna,16 Ft,"5,00,00,000",5,3,2068,Car 2,East,https://www.gharghaderi.com/house/1898-5-bedroom-duplex-house-in-Bhaisepati/
2.5 storey house on sell | 9843783239,Lalitpur,Harisiddhi,Harisiddhi,3.5 Aana,Plotting Ko Bat,"1,60,00,000",4,3,2073,Car 1,East,https://www.gharghaderi.com/house/1897-2.5-storey-house-on-sell/
Salling home | 9824285265,Chitwan,Kathmandu,Makwanpur,1200 Sqft,,"42,00,000",4,1,2075,Motorbike,East,https://www.gharghaderi.com/house/1896-Salling-home/
4 storey fully furnished house for sale in Hattigauda 4 Budhanilkantha | 9843522395,Kathmandu,Budhanilkantha,Hattigauda,0-5-2-0,28 Feet,"4,00,00,000",8,6,2072,Car 2,South east,https://www.gharghaderi.com/house/1888-4-storey-fully-furnished-house-for-sale-in-Hattigauda-4-Budhanilkantha/
Old House for Sale inside Bhaktapur only for Bhaktapurians | 9803828501,Bhaktapur,BMC,Bhaktapur,1.5,,"40,00,000",2,1,2076,Motorbike,East,https://www.gharghaderi.com/house/1885-Old-House-for-Sale-inside-Bhaktapur-only-for-Bhaktapurians/
Very new Residential house at Budanilkantha on Sale | 9849028039,Kathmandu,Budhanilkantha,"Deuba chowk, chapali",5. 5 Anna,13 Ft,"3,75,00,000",5,3,2076,Car 2,South,https://www.gharghaderi.com/house/1880-Very-new-Residential-house-at-Budanilkantha-on-Sale/
House for rent at Buddhanagar. | 9841669432,Kathmandu,Kathmandu,New Baneshwor,7 Aana,20,"1,28,000",8,4,2076,Car 3+,South,https://www.gharghaderi.com/house/1876-House-for-rent-at-Buddhanagar./
House for sale Chitwan saurahachowk | 9855015969,Chitwan,Ratnanagar,Saurahachowk,1822.5,20 Ft,"3,50,00,000",8,5+,2076,Car 1,East,https://www.gharghaderi.com/house/1871-House-for-sale-Chitwan-saurahachowk/
"Bunglow for sale near Grande Hospital,Tokha, Kathmandu | 9843581400",Kathmandu,Tokha,Grande Hospital,8 Aana 2 Paisa 2 Daam,18 Ft,"6,50,00,000",5,5+,2074,Car 2,West,https://www.gharghaderi.com/house/1870-Bunglow-for-sale-near-Grande-Hospital-Tokha-Kathmandu/
Samanthali naya basti | 9813875249,Bhaktapur,BMC,"Samanthali , duwakot",3.1,10 Ft,"90,00,000",3,2,2075,Car 1,North,https://www.gharghaderi.com/house/1866-Samanthali-naya-basti/
Residential + Commercial 7 Floors Building In Thamel For Rent | 9823678934,Kathmandu,Kathmandu,Thamel,3000 Sqft,12 Ft,"3,50,000",8,5+,2072,Car 3+,North east,https://www.gharghaderi.com/house/1857-Residential-+-Commercial-7-Floors-Building-In-Thamel-For-Rent/
"Urgent Full Furnished House On Sale At Bhangal Height, Budhanilkantha. | 9847369375",Kathmandu,Budhanilkantha,Bhangal,3 Anna,20 Ft,"2,10,00,000",6,3,2076,Car 1,East,https://www.gharghaderi.com/house/1856-Urgent-Full-Furnished-House-On-Sale-At-Bhangal-Height-Budhanilkantha./
House for Sale in Milanchwok Kirtipur (Kalanki Khasibazar ko mathi Height ma) ) | 9851182580,Kathmandu,Kirtipur,Kalanki,1200 Sqft,6 Ft,"1,94,99,988",3,3,2068,Motorbike,West,https://www.gharghaderi.com/house/1855-House-for-Sale-in-Milanchwok-Kirtipur-(Kalanki-Khasibazar-ko-mathi-Height-ma)-)/
New house on sale in Dhapakhel Lalitpur | 9851155216,Lalitpur,Lalitpur,Dhapakhel,0-3-0-0,20 Ft,"1,98,00,000",4,3,2075,Car 1,South,https://www.gharghaderi.com/house/1848-New-house-on-sale-in-Dhapakhel-Lalitpur/
BUDGET BUNGALOW ON SALE AT BHANGAL | 9847369375,Kathmandu,Budhanilkantha,Bhangal,3 Anna 2 Paisa,13 Ft,"2,30,00,000",4,3,2076,Car 2,East,https://www.gharghaderi.com/house/1847-BUDGET-BUNGALOW-ON-SALE-AT-BHANGAL/
SBA PRESENTS YOU THE LUXURIOUS KARYABINAYAK HOMES | 9847369375,Lalitpur,Lalitpur,Bhaisepati,4 Anna,20 Ft,"2,95,00,000",4,4,2076,Car 2,East,https://www.gharghaderi.com/house/1846-SBA-PRESENTS-YOU-THE-LUXURIOUS-KARYABINAYAK-HOMES/
"4 Storey Brand New House On Sale At Naxal, 100 Meter From Bhat Bhateni | 9847369375",Kathmandu,Kathmandu,Naxal,4 Anna 2 Paisa 3 Dam,15,"7,80,00,000",8,5+,2076,Car 2,East,https://www.gharghaderi.com/house/1843-4-Storey-Brand-New-House-On-Sale-At-Naxal-100-Meter-From-Bhat-Bhateni/
5 Bhk independent house on sale or rent | 9840872228,Kathmandu,Budhanilkantha,Hepali,12 Ana,16 Ft,"7,00,00,000",5,5+,2076,Car 2,West,https://www.gharghaderi.com/house/1842-5-Bhk-independent-house-on-sale-or-rent/
Modern 5 bhk detached duplex budhanilkanth | 9840872228,Kathmandu,Budhanilkantha,Budhanilkantha,7.5 Ana,13 Ft,"5,50,00,000",5,5+,2076,Car 3+,North east,https://www.gharghaderi.com/house/1841-Modern-5-bhk-detached-duplex-budhanilkanth/
3 Ana sweet home for sale | 9840872228,Kathmandu,Budhanilkantha,Hepali,3 An,20 Ft,"2,60,00,000",4,5+,2076,Car 1,North,https://www.gharghaderi.com/house/1840-3-Ana-sweet-home-for-sale/
Residential tower for sale | 9840872228,Kathmandu,Kathmandu,Naksal,5 Ana,16 Ft,"7,80,00,000",8,5+,2076,Car 2,North east,https://www.gharghaderi.com/house/1838-Residential-tower-for-sale/
Narayanthan Brand New Modern Bungalow On Sale | 9847369375,Kathmandu,Budhanilkantha,Narayanthan,18 Anna,16 Ft,"10,00,00,000",6,5+,2076,Car 3+,South east,https://www.gharghaderi.com/house/1829-Narayanthan-Brand-New-Modern-Bungalow-On-Sale/
5.5 Floor Flat System Brand New House On Sale At Dillbazar | 9847369375,Kathmandu,Kathmandu,"KALIKASTHAN, DILLIBAZAR",4 Anna,15 Feet,"6,00,00,000",8,5+,2076,Car 3+,North west,https://www.gharghaderi.com/house/1828-5.5-Floor-Flat-System-Brand-New-House-On-Sale-At-Dillbazar/
New modern House sell in Lubhu | 9851193150,Lalitpur,Mahalaxmi,Lubhu,1750,20,"2,90,00,000",5,4,2076,Car 3+,South,https://www.gharghaderi.com/house/1825-New-modern-House-sell-in-Lubhu/
House | 9844744991,BUTWAL,Butwal,Deepnagar,5 Dhur,,"1,80,00,000",8,3,2069,Motorbike,North,https://www.gharghaderi.com/house/1820-House/
New House For sale in Sanothimi | 9841478993,Bhaktapur,Madhyapur Thimi,Sano Thimi,3.5 Aana,20 Ft,"2,45,00,000",5,3,2076,Motorbike,North,https://www.gharghaderi.com/house/1818-New-House-For-sale-in-Sanothimi/
Dreams properties | 9865651188,Dhangadhi,Dhangadhi,Dhangadhi,800 Sqft,13 Ft,"55,00,000",4,1,2076,Motorbike,North east,https://www.gharghaderi.com/house/1816-Dreams-properties/
5 Anna South Face Beautiful House On Sale At Basundhara | 9847369375,Kathmandu,Tokha,Basundhara,5 Anna,13 Ft,"3,10,00,000",5,3,2076,Car 2,South west,https://www.gharghaderi.com/house/1807-5-Anna-South-Face-Beautiful-House-On-Sale-At-Basundhara/
Brand New 5 Anna 2 Dam Family Bungalow On Sale At Budhanilkantha | 9847369375,Kathmandu,Budhanilkantha,Height,5 Anna 2 Dam,14 Ft,"3,75,00,000",6,1,2076,Car 2,North east,https://www.gharghaderi.com/house/1806-Brand-New-5-Anna-2-Dam-Family-Bungalow-On-Sale-At-Budhanilkantha/
"House on Sell, Lalitpur Thaiba. | 9818683797",Lalitpur,Godawari,Thaiba,4 Aana,20 Ft,"2,85,00,000",4,5+,2074,Motorbike,South,https://www.gharghaderi.com/house/1805-House-on-Sell-Lalitpur-Thaiba./
House for sale in Passikot | 9803301131,Kathmandu,Budhanilkantha,Passikot,4 Annna,,"2,68,00,000",5,2,2074,Car 1,South east,https://www.gharghaderi.com/house/1804-House-for-sale-in-Passikot/
6.2 Anna House On Sale At Budhanilkantha Height | 9847369375,Kathmandu,Budhanilkantha,Height,6.2 Anna,16 Ft,"3,80,00,000",4,4,2074,Car 2,South east,https://www.gharghaderi.com/house/1798-6.2-Anna-House-On-Sale-At-Budhanilkantha-Height/
independent double story semi apart house | 9840872228,Kathmandu,Budhanilkantha,Pasikot height,5 Ana,13 Ft,"3,60,00,000",6,5+,2076,Car 1,North east,https://www.gharghaderi.com/house/1785-independent-double-story-semi-apart-house/
SINGLE FAMILY HOUSE BUDHANILKANTHA | 9840872228,Kathmandu,Budhanilkantha,BUDHANILKANTHA,7.5 ANA,16 Ft,"6,30,00,000",6,5+,2076,Car 3+,East,https://www.gharghaderi.com/house/1783-SINGLE-FAMILY-HOUSE-BUDHANILKANTHA/
House for sale in Birtabazar | 9826911138,Jhapa,Birtamod,Birtabazar,1500 Sqft,60,"3,50,00,000",4,1,2076,Motorbike,East,https://www.gharghaderi.com/house/1782-House-for-sale-in-Birtabazar/
6 Bhk duplex budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Budhanilkantha,22 Ana,16 Ft,"12,50,00,000",6,5+,2076,Car 3+,North east,https://www.gharghaderi.com/house/1781-6-Bhk-duplex-budhanilkantha/
Brand new house on sale at Kusunti | 9851155216 sold,Lalitpur,Mahalaxmi,Kusunti,0-4-3-0,20 Ft,"31,00,00,000",4,4,2076,Car 2,South,https://www.gharghaderi.com/house/1780-Brand-new-house-on-sale-at-Kusunti/
kathmandu takeswor | 9851277105,Kathmandu,Tarkeshwor,Phutung,0-4-2-1,12 Ft,"2,50,00,000",5,4,2076,Car 1,East,https://www.gharghaderi.com/house/1776-kathmandu-takeswor/
NEW HOUSE SELL IN NAYA NAIKAP | 9861437880,Kathmandu,Chandragiri,Naikap,4 Anna,13 Ft,"2,75,00,000",6,5+,2076,Car 1,East,https://www.gharghaderi.com/house/1772-NEW-HOUSE-SELL-IN-NAYA-NAIKAP/
"Beautiful house sale in Tokha, Panchetaar, Kathmandu | 9851241322",Kathmandu,Tokha,Panchetaar,4.75 Aana,20 Ft,"3,20,00,000",5,4,2076,Car 1,East,https://www.gharghaderi.com/house/1771-Beautiful-house-sale-in-Tokha-Panchetaar-Kathmandu/
"House Sale at Bhaktapur-Suryabinayak, PanduBazar | 9851158503",Bhaktapur,Suryabinayak,Suryabinayak,3aana,10 Ft,"2,02,00,000",7,4,2073,Car 1,East,https://www.gharghaderi.com/house/1770-House-Sale-at-Bhaktapur-Suryabinayak-PanduBazar/
New house sale in Bhaktapur | 9841825821,Bhaktapur,Madhyapur Thimi,Dunchepakha,3.1 Ana,"Current 3ft, Proposed 20 Ft","1,50,00,000",5,3,2076,Car 1,North,https://www.gharghaderi.com/house/1768-New-house-sale-in-Bhaktapur/
Brand new house for sale in VIP area of Lalitpur Nakhipot | 9841942030,Lalitpur,Lalitpur,Nakhipot,1197.875,13 Ft,"2,65,00,000",5,4,2076,Car 3+,North,https://www.gharghaderi.com/house/1763-Brand-new-house-for-sale-in-VIP-area-of-Lalitpur-Nakhipot/
