title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
"3 Storey Cozy House For SALE At Sanobharyang, Kathmandu | 9802601313",Kathmandu,Kathmandu,Kathmandu,0-2-2-0,16,"1,70,00,000",4,2,2076,Motorbike,West,https://www.gharghaderi.com/house/2794-3-Storey-Cozy-House-For-SALE-At-Sanobharyang-Kathmandu/
"House for sale at Dhapasi, Kathmandu | 9846053579",Kathmandu,Tokha,Dhapasi,3 Aana,13 Ft,"2,95,00,000",5,3,2073,Car 1,West,https://www.gharghaderi.com/house/2789-House-for-sale-at-Dhapasi-Kathmandu/
Brand New Commercial Building For Rent | 9745300858,Kathmandu,Kathmandu,Kalanki,0,13 Ft,0,1,1,2076,Motorbike,East,https://www.gharghaderi.com/house/2781-Brand-New-Commercial-Building-For-Rent/
"Residential House On Sale at Jalpa Chowk, Gongabu, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Jalpa Chowk, Gongbu",4 Aana,13 Ft,"2,90,00,000",1,1,2076,Car 5-10,South,https://www.gharghaderi.com/house/2777-Residential-House-On-Sale-at-Jalpa-Chowk-Gongabu-Kathmandu/
"New House for sale in Butwal, manigram, tilottama 8 | 9840963089",Rupandehi,tilottama,3 km east from Manigram,1020.75 Sq Ft,32 Ft,"1,80,00,000",1,1,2075,Motorbike,East,https://www.gharghaderi.com/house/2776-New-House-for-sale-in-Butwal-manigram-tilottama-8/
House on rent at sanepa | 9865816317,Lalitpur,Lalitpur,Sanepa,1200 Sqft,16 Ft,"1,00,000",3,4,2073,Car 1,South east,https://www.gharghaderi.com/house/2775-House-on-rent-at-sanepa/
House for sale Nakhipot | 9801097733,Lalitpur,Lalitpur,Nakhipot line,1500 Sqft,20 Ft,"5,75,00,000",5,6,2073,Car 1,East,https://www.gharghaderi.com/house/2773-House-for-sale-Nakhipot/
Tahachal | 9745300858,Kathmandu,Nagarjun,Tahachal,3.3.1 Aana,8 Ft.,"1,55,00,000",1,1,2066,Car 1,East,https://www.gharghaderi.com/house/2771-Tahachal/
"Brand New Commercial Building For rent at Kalanki, Kathmandu | 9745300858",Kathmandu,Kathmandu,Kalanki,0,,0,1,1,2076,Car 5-10,East,https://www.gharghaderi.com/house/2770-Brand-New-Commercial-Building-For-rent-at-Kalanki-Kathmandu/
"Residential House On Sale at Khahare, Kadaghari, Nearby Aksharaa School , Kathmandu | 9745300858",Kathmandu,Kathmandu,"Khahare, Kadaghari, Nearby Aksharaa School",3 Aana,10 Ft,"1,72,00,000",5,1,2076,Car 1,South,https://www.gharghaderi.com/house/2768-Residential-House-On-Sale-at-Khahare-Kadaghari-Nearby-Aksharaa-School-Kathmandu/
