title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
Modern house for sale at Kapan | 9847369375,Kathmandu,Budhanilkantha,Kapan,1437.45,13,26500000,5,5,2076,3+,East,https://www.gharghaderi.com/house/1195-Modern-house-for-sale-at-Kapan/
House for sale in Chandragiri 7 | 9823149701,Kathmandu,Chandragiri,on the way to cable ,1711.25,10,26500000,6,3,2073,3-,West,https://www.gharghaderi.com/house/2234-House-for-sale-in-Chandragiri-7/
"Residential House On Sale at Chandragiri-06, Radhekrishna Tole, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Chandragiri-06, Radhekrishna Tole",1711.25,20,26700000,6,1,2076,3-,West,https://www.gharghaderi.com/house/2806-Residential-House-On-Sale-at-Chandragiri-06-Radhekrishna-Tole-Kathmandu/
House for sale in Passikot | 9803301131,Kathmandu,Budhanilkantha,Passikot,1369,,26800000,5,2,2074,3-,South east,https://www.gharghaderi.com/house/1804-House-for-sale-in-Passikot/
"Residential House On Sale at Narephat, Jadibuti, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Narephat, Jadibuti",855.625,28,27000000,1,1,2076,3-,East,https://www.gharghaderi.com/house/2766-Residential-House-On-Sale-at-Narephat-Jadibuti-Kathmandu/
House for sell in New Baneshwor Shankhamul | 9851051667,Kathmandu,Kathmandu,Shankhamul,855.625,20,27000000,3,1,2067,3-,West,https://www.gharghaderi.com/house/2179-House-for-sell-in-New-Baneshwor-Shankhamul/
new house for sale in jorpati | 9851003105,Kathmandu,Kathmandu,jorpati,1155.09,13,27000000,6,3,2076,3-,South east,https://www.gharghaderi.com/house/2667-new-house-for-sale-in-jorpati/
"New House in Sell in Kageshwori manohara 9, Kadaghari, Kathmandu | 9843143614",Kathmandu,Kageshwori Manohara,Kageshwori Manohara,1197.87,13,27000000,6,3,2076,3-,North,https://www.gharghaderi.com/house/2584-New-House-in-Sell-in-Kageshwori-manohara-9-Kadaghari-Kathmandu/
Man bahadur marga home | 9840872228 sold,Kathmandu,Budhanilkantha,Man b marga,1369,13,27000000,5,5,2076,3-,East,https://www.gharghaderi.com/house/1405-Man-bahadur-marga-home/
"House On Sale At Bhangal, Budhanilkantha | 9819311255 sold",Kathmandu,Budhanilkantha,Bhangal,1369,12,27000000,5,4,2076,3-,South east,https://www.gharghaderi.com/house/1347-House-On-Sale-At-Bhangal-Budhanilkantha/
House for sale at Kapan Sundarbasti | 9851249307,Kathmandu,Budhanilkantha,Kapan,1369,13,27000000,5,5,2076,3-,East,https://www.gharghaderi.com/house/1118-House-for-sale-at-Kapan-Sundarbasti/
House at boudha nayabasti | 9865556659,Kathmandu,Kathmandu,Boudha,1369,13,27000000,4,4,2072,3-,East,https://www.gharghaderi.com/house/1115-House-at-boudha-nayabasti/
"House for Sale, Ekatabasti, Balwakhani, Budanilkantha | 9842641116",Kathmandu,Budhanilkantha,Balwakhani,1440,12,27000000,3,3,2067,3-,East,https://www.gharghaderi.com/house/1988-House-for-Sale-Ekatabasti-Balwakhani-Budanilkantha/
House for sale at sitapaila | 9849551287,Kathmandu,Kathmandu,Sitapaila,1540.125,13,27000000,5,4,2073,3-,North,https://www.gharghaderi.com/house/1635-House-for-sale-at-sitapaila/
Brand new house for sale in Chapali | 9863315491,Kathmandu,Budhanilkantha,Chapali,1540.125,12,27000000,5,4,,3-,west,https://www.gharghaderi.com/house/904-Brand-new-house-for-sale-in-Chapali/
"Residential Building On Sale at Paradise Colony, Bhangal | 9745300858",Kathmandu,Budhanilkantha,"Paradise Colony, Bhangal",1197.87,13,27500000,3,3,2076,3-,South east,https://www.gharghaderi.com/house/2761-Residential-Building-On-Sale-at-Paradise-Colony-Bhangal/
New house for sale in Sitapaila 4 Nagarjun Kathmandu | 9869573665,Kathmandu,Nagarjun,Sitapaila,1283.43,12,27500000,4,4,2075,3-,North east,https://www.gharghaderi.com/house/567-New-house-for-sale-in-Sitapaila-4-Nagarjun-Kathmandu/
